name				bydra
score				0 -1
health				1
speed				16
type				enemy
shadow				0
noquake				1
dust				dust
cantgrab			1
jumpheight			2
antigravity			60
nodrop				1
dust				dust01
flash				flash21
#noatflash			1
bflash				guard01
falldie				1
nodieblink			1
facing				2
nomove				1
icon				data/chars/hydra/bicon.gif 1
icondie				data/chars/hydra/icond.gif 1
nolife				1

palette data/chars/hydra/hydra.gif #1

remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter01.gif
remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter02.gif
remap	data/chars/hydra/idle00.gif   data/chars/hydra/alter03.gif



anim spawn
	jumpframe	0 4 0
	dropframe	1
	landframe	2
	quakeframe	2 16 5
	loop	0
	offset	225 198
	bbox	0 0 0 0
	delay	999
	frame	data/chars/misc/empty.gif
	delay 999
	frame	data/chars/hydra/bidle00.gif
	delay 4
	
	sound   data/sounds/fall02.wav
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle02.gif
	frame	data/chars/hydra/bidle02.gif
	frame	data/chars/hydra/bidle02.gif
	frame	data/chars/hydra/bidle02.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle01.gif

anim idle
	loop	1
	offset	225 198
	bbox	0 0 0 0
	delay 16
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bidle01.gif
	frame	data/chars/hydra/bidle02.gif
	frame	data/chars/hydra/bidle01.gif

anim death
	loop	0
	offset	225 198
	bbox	0 0 0 0
	delay 400
	frame	data/chars/hydra/bidle00.gif

	delay   4
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif

	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif

	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bidle00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif
	frame	data/chars/hydra/bdeath00.gif





