name		axe
health		1
nolife		1
type		npc
hostile		enemy obstacle
candamage	enemy obstacle
speed		0
nomove		1
noquake		1
falldie		1
subtype		flydie
shadow		0
remove		0

anim idle
	jugglecost	8
	loop	0
	delay	2
	 offset     225 140
	hitfx		data/sounds/hit01.wav
	hitflash	Flash11
	bbox    	0 0 0 0

	move 5
	attack2  221 152 51 51 30 1 1 0 0
	sound   data/sounds/slash01.wav
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/02.gif
	frame	data/chars/misc/axe/02.gif
	frame	data/chars/misc/axe/02.gif
	frame	data/chars/misc/axe/02.gif

	move 4
	frame	data/chars/misc/axe/03.gif
	frame	data/chars/misc/axe/03.gif
	frame	data/chars/misc/axe/03.gif
	frame	data/chars/misc/axe/03.gif
	frame	data/chars/misc/axe/04.gif
	frame	data/chars/misc/axe/04.gif
	frame	data/chars/misc/axe/04.gif
	frame	data/chars/misc/axe/04.gif

	move 3
	sound   data/sounds/slash01.wav
	frame	data/chars/misc/axe/05.gif
	frame	data/chars/misc/axe/05.gif
	frame	data/chars/misc/axe/05.gif
	frame	data/chars/misc/axe/05.gif
	frame	data/chars/misc/axe/06.gif
	frame	data/chars/misc/axe/06.gif
	frame	data/chars/misc/axe/06.gif
	frame	data/chars/misc/axe/06.gif

	move 2
	frame	data/chars/misc/axe/07.gif
	frame	data/chars/misc/axe/07.gif
	frame	data/chars/misc/axe/07.gif
	frame	data/chars/misc/axe/07.gif
	frame	data/chars/misc/axe/08.gif
	frame	data/chars/misc/axe/08.gif
	frame	data/chars/misc/axe/08.gif
	attack2   0 0 0 0 0 0 0 0 0 0
	frame	data/chars/misc/axe/08.gif

	move 1
	attack2  221 152 51 51 8 1 1 0 0
	sound   data/sounds/slash01.wav
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/01.gif
	frame	data/chars/misc/axe/02.gif
	frame	data/chars/misc/axe/02.gif
	frame	data/chars/misc/axe/02.gif
