name		air
health		1
shadow		1
type		enemy
dust		dust01
flash		flash01
bflash		guard01
speed		0
nomove		1
noquake		1
facing				2
nopain				1
nodrop				2
nodieblink			2
falldie				1
nolife				1

anim spawn
	jugglecost	99
	loop	0
	offset     225 198

	bbox    	0 0 0 0
	delay	4
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	
anim idle
	jugglecost	99
	loop	1

	bbox    	216 155 20 44
	delay	4
	offset     225 198
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 199
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 200
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 201
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 202
	frame	data/chars/misc/element/sphere/air.gif
	delay	6
	offset     225 203
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 204
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 205
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 206
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 207
	frame	data/chars/misc/element/sphere/air.gif
	delay	4
	offset     225 208
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 207
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 206
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 205
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 204
	frame	data/chars/misc/element/sphere/air.gif
	delay	2
	offset     225 203
	frame	data/chars/misc/element/sphere/01.gif
	offset     225 202
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 201
	frame	data/chars/misc/element/sphere/01.gif
	offset     225 200
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 199
	frame	data/chars/misc/element/sphere/01.gif
	delay	4
	offset     225 198
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 197
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 196
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 195
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 194
	frame	data/chars/misc/element/sphere/air.gif
	delay	6
	offset     225 193
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 192
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 191
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 190
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 189
	frame	data/chars/misc/element/sphere/air.gif
	delay	4
	offset     225 188
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 189
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 190
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 191
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 192
	frame	data/chars/misc/element/sphere/air.gif
	delay	2
	offset     225 193
	frame	data/chars/misc/element/sphere/01.gif
	offset     225 194
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 195
	frame	data/chars/misc/element/sphere/01.gif
	offset     225 196
	frame	data/chars/misc/element/sphere/air.gif
	offset     225 197
	frame	data/chars/misc/element/sphere/01.gif
	
anim fall
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim pain
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim death
	load		air1
	subentity	air1
	spawnframe	0 250 160 0 1
	loop	0
	offset     225 198
	bbox    	216 155 20 44

	sound   data/sounds/super01.wav
	delay	4
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/element/sphere/air.gif
	frame	data/chars/misc/empty.gif
	
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif


