name		sonic01
health		1
nolife		1
type		none
hostile		enemy obstacle
candamage	enemy obstacle
speed		15
noquake		1
falldie		1
subtype		flydie
remove		0
shadow		0

palette data/chars/misc/sonic/sonic.gif #1

anim spawn
	jugglecost	99
	loop	0
	offset     225 198
	bbox    	0 0 0 0
#	attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	attack2		187 130	76		69		20			1		1		0			30			
	sound   data/sounds/sonic01.wav
	hitfx   data/sounds/hit01.wav
	hitflash	flash01
	delay	2
	move	10
	frame	data/chars/misc/sonic/01.gif
	frame	data/chars/misc/sonic/02.gif
	frame	data/chars/misc/sonic/03.gif
	move	9
	frame	data/chars/misc/sonic/04.gif
	frame	data/chars/misc/sonic/05.gif
	frame	data/chars/misc/sonic/06.gif
	move	8
	frame	data/chars/misc/sonic/07.gif
	frame	data/chars/misc/sonic/08.gif
	frame	data/chars/misc/sonic/09.gif
	move	7
	frame	data/chars/misc/sonic/10.gif
	frame	data/chars/misc/sonic/11.gif
	frame	data/chars/misc/sonic/12.gif
	move	6
	frame	data/chars/misc/sonic/13.gif
	frame	data/chars/misc/sonic/14.gif
	frame	data/chars/misc/sonic/15.gif
	move	5
	frame	data/chars/misc/sonic/16.gif
	frame	data/chars/misc/sonic/17.gif
	frame	data/chars/misc/sonic/18.gif
	move	4
	frame	data/chars/misc/sonic/17.gif
	frame	data/chars/misc/sonic/18.gif
	frame	data/chars/misc/sonic/17.gif
	move	3
	frame	data/chars/misc/sonic/18.gif
	frame	data/chars/misc/sonic/17.gif
	frame	data/chars/misc/sonic/18.gif
	move	2
	frame	data/chars/misc/sonic/17.gif
	frame	data/chars/misc/sonic/18.gif
	frame	data/chars/misc/sonic/17.gif
	move	1
	frame	data/chars/misc/sonic/18.gif
	frame	data/chars/misc/sonic/17.gif
	
	delay	4
	move	0
	attack2  0 0 0 0 0 0
	frame	data/chars/misc/sonic/19.gif
	frame	data/chars/misc/sonic/20.gif
	frame	data/chars/misc/sonic/21.gif
	frame	data/chars/misc/sonic/22.gif
	frame	data/chars/misc/sonic/23.gif

	frame	data/chars/misc/empty.gif
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim idle
	jugglecost	99
	loop	0
	 offset     225 198
	hitflash Flash01
	hitfx   data/sounds/hit01.wav
	frame	data/chars/misc/empty.gif
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
anim fall
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim death
	jumpframe 0 2 0
	loop	0
	offset     225 128
	delay		2
	frame	data/chars/misc/sonic/10.gif
	frame	data/chars/misc/sonic/11.gif
	frame	data/chars/misc/sonic/12.gif
	frame	data/chars/misc/sonic/13.gif
	frame	data/chars/misc/sonic/10.gif
	frame	data/chars/misc/sonic/11.gif
	frame	data/chars/misc/sonic/12.gif
	frame	data/chars/misc/sonic/13.gif
	frame	data/chars/misc/sonic/10.gif
	frame	data/chars/misc/sonic/11.gif
	frame	data/chars/misc/sonic/12.gif
	frame	data/chars/misc/sonic/13.gif

	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif



