name		thorn
health		1
nolife		1
type		npc
hostile		player npc obstacle
candamage	player npc obstacle
speed		25
noquake		1
falldie		1
subtype		flydie
shadow		0
flash				flash01
noatflash			1

palette data/chars/misc/thorn/thorn.gif #1

anim idle
	loop	0
	 offset     225 198
	bbox    	209 138	32 61
	hitflash Flash01
	hitfx   data/sounds/hit01.wav
	delay	80
#	attack{#} 	{x}	{y}	{right}	{down}	{damage}	{power}	{block}	{noflash}	{pausetime}	{z}
	attack2		216 138	32		61		10			1		0		0			30			
	frame	data/chars/misc/thorn/01.gif
	delay	2
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	attack2  0 0 0 0 0 0
	frame	data/chars/misc/empty.gif
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
	
anim fall
	loop	0
	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif

anim death
	jumpframe 0 2 0
	loop	0
	 offset     225 198
	delay		16
	frame	data/chars/misc/thorn/01.gif
	delay		2
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif
	frame	data/chars/misc/empty.gif
	frame	data/chars/misc/thorn/01.gif

	offset	30 30
	delay		5
	move		1000
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif
		frame		data/chars/misc/empty.gif



