name	Mecha_Sonic
health	100
type	enemy
icon	data/chars/m/icon.gif
shadow 	3
speed 14

animationscript data/scripts/escript.c

palette       data/chars/M/Pal

alternatepal  data/chars/M/PalSC

anim	attack1
	loop	0
	delay	2
	offset	155 136
	Attack1	0
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-2.gif
	Move	11
	attack1	130 91 49 45 20 1 0 0 0 20
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-2.gif
	Move	3
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-0.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-1.gif
	frame	data/chars/m/A1-2.gif
	frame	data/chars/m/A1-2.gif
	Move	2
	move	1
	Attack1	0
	frame	data/chars/m/A1-3.gif
	frame	data/chars/m/A1-3.gif
	frame	data/chars/m/A1-4.gif
	frame	data/chars/m/A1-4.gif
	frame	data/chars/m/A1-5.gif
	frame	data/chars/m/A1-5.gif
	frame	data/chars/m/A1-6.gif
	frame	data/chars/m/A1-6.gif
	frame	data/chars/m/A1-7.gif
	frame	data/chars/m/A1-7.gif
	frame	data/chars/m/A1-5.gif
	frame	data/chars/m/A1-5.gif
	frame	data/chars/m/A1-6.gif
	frame	data/chars/m/A1-6.gif
	frame	data/chars/m/A1-7.gif
	frame	data/chars/m/A1-7.gif
		
anim	attack2
	loop	0
	delay	8
	Range	100 130
	offset	155 136
	bbox	136 86 47 52
	Attack1	0
	frame	data/chars/m/A2-0.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-2.gif
	delay	7
	frame	data/chars/m/A2-4.gif
	@cmd	shoot "MShot1" 0 0 0
	frame	data/chars/m/A2-3.gif
	frame	data/chars/m/A2-4.gif
	@cmd	shoot "MShot1" 0 0 0
	frame	data/chars/m/A2-3.gif
	frame	data/chars/m/A2-4.gif
	@cmd	shoot "MShot1" 0 0 0
	delay	18
	frame	data/chars/m/A2-3.gif
	delay	8
	frame	data/chars/m/A2-2.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-0.gif
		
anim	attack3
	loop	0
	delay	8
	Range	130 190
	offset	155 136
	bbox	139 83 42 53
	Attack1	0
	frame	data/chars/m/A2-0.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-2.gif
	delay	7
	frame	data/chars/m/A3-3.gif
	frame	data/chars/m/A3-4.gif
	frame	data/chars/m/A3-3.gif
	frame	data/chars/m/A3-4.gif
	delay	18
	@cmd	shoot "MShot2" 0 0 0
	frame	data/chars/m/A3-3.gif
	delay	7
	frame	data/chars/m/A2-2.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-0.gif
		
anim	attack4
	loop	0
	delay	8
	Range	190 300
	offset	155 136
	bbox	138 83 45 51
	Attack1	0
	frame	data/chars/m/A2-0.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-2.gif
	delay	7
	frame	data/chars/m/A4-3.gif
	frame	data/chars/m/A4-4.gif
	frame	data/chars/m/A4-3.gif
	frame	data/chars/m/A4-4.gif
	@cmd	shoot "MShot3" 0 0 0
	delay	18
	frame	data/chars/m/A4-3.gif
	delay	8
	frame	data/chars/m/A2-2.gif
	frame	data/chars/m/A2-1.gif
	frame	data/chars/m/A2-0.gif
		
anim	fall
	loop	0
	delay	15
	Landframe	2
	offset	155 136
	bbox	128 94 48 41
