name	MightyD
weapons  MightyB MightyS MightyF MightyD
weapnum 4
weaploss 2
health	400
mp 100
mprate 5
speed	13
type	none
icon	    data/chars/Mighty/icon.gif 1
#iconpain   data/chars/Max/iconP.gif
#icondie    data/chars/Max/iconD.gif
#diesound   data/chars/Zero/die2.wav
running 23	3.9	2.80	1	1
makeinv  4
riseinv  1
gfxshadow 1
palette       data/chars/Mighty/Pal

animationscript data/scripts/script.c




com a2  Freespecial2
com a3  Freespecial3
com a4  Freespecial4
jumpmove  3  2



anim	attack1
	loop	0
	delay	1
	Fastattack	1
	offset	121 107
	bbox	106 72 18 29
	@cmd	shoot "MBombD" 0 0 0
	frame	data/chars/Mighty/Idle.gif

anim	attack2
	loop	0
	delay	1
	Fastattack	1
	offset	121 107
	bbox	106 72 18 29
	@cmd	shoot "MBombD" 0 0 0
	frame	data/chars/Mighty/Idle.gif

anim	attack3
	loop	0
	delay	1
	Fastattack	1
	offset	121 107
	bbox	106 72 18 29
	@cmd	shoot "MBombD" 0 0 0
	frame	data/chars/Mighty/Idle.gif

anim	DODGE
	loop	0
	delay	4
	offset	121 109
	frame	data/chars/Mighty/Walk0.gif
	offset	121 111
	frame	data/chars/Mighty/Walk0.gif
	offset	121 113
	frame	data/chars/Mighty/Walk0.gif
	offset	121 115
	frame	data/chars/Mighty/Walk0.gif
	offset	121 113
	frame	data/chars/Mighty/Walk0.gif
	offset	121 111
	frame	data/chars/Mighty/Walk0.gif
	offset	121 109
	frame	data/chars/Mighty/Walk0.gif

anim	fall
	loop	0
	offset	121 107
	delay	7
	attack1	36 29 15 24 10 1
	frame	data/chars/Mighty/Pain.gif

anim	Freespecial2
	loop	0
	delay	4
	offset	121 107
	bbox	0
	@cmd	shoot "MKBombD" 0 0 0
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif

anim	Freespecial3
	loop	0
	delay	4
	offset	121 107
	tossframe	0
	custbomb	MBbombD
	bbox	0
	frame	data/chars/Mighty/Walk2.gif
	frame	data/chars/Mighty/Walk2.gif
	frame	data/chars/Mighty/Walk2.gif

anim	Freespecial4
	loop	0
	delay	4
	offset	121 107
	bbox	0
	@cmd	shoot "MSBombD" 0 0 0
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif

anim	get
	loop	0
	delay	5
	offset	121 107
	frame	data/chars/Mighty/Get.gif
	frame	data/chars/Mighty/Get.gif
	frame	data/chars/Mighty/Get.gif

anim	idle
	loop	1
	delay	9
	offset	121 107
	bbox	114 84 14 25
	frame	data/chars/Mighty/Idle.gif

anim	jump
	loop	0
	delay	8
	offset	121 107
	bbox	114 83 16 25
	frame	data/chars/Mighty/Walk0.gif

anim	land
	loop	0
	delay	5
	offset	121 107
	frame	data/chars/Mighty/Get.gif
	frame	data/chars/Mighty/Get.gif
	frame	data/chars/Mighty/Get.gif

anim	pain
	loop	0
	offset	121 107
	bbox	113 86 15 24
	delay	7
	frame	data/chars/Mighty/Pain.gif
	frame	data/chars/Mighty/Pain.gif
	frame	data/chars/Mighty/Pain.gif

anim	rise
	loop	0
	offset	121 107
	delay	4
	frame	data/chars/Mighty/Idle.gif

anim	run
	loop	1
	delay	6
	offset	121 107
	bbox	113 83 16 25
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk1.gif
		offset  121  108
	frame	data/chars/Mighty/Walk2.gif
	frame	data/chars/Mighty/Walk3.gif

anim	special
	loop	0
	delay	4
	Fastattack	1
	offset	121 107
	tossframe	0
	custbomb	MBombD-
	bbox	0
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk0.gif

anim	walk
	loop	1
	delay	11
	offset	121 107
	bbox	112 83 19 25
	frame	data/chars/Mighty/Walk0.gif
	frame	data/chars/Mighty/Walk1.gif
		offset  121  108
	frame	data/chars/Mighty/Walk2.gif
	frame	data/chars/Mighty/Walk3.gif

