name	NEKU
health	500
mp 80
mprate 8
speed	13
type	player
icon     data/chars/Neku/IconA.gif 1
iconpain data/chars/Neku/IconB.gif 1
icondie  data/chars/Neku/IconB.gif 1




running 23	3.9	2.80	1	1
makeinv  4
riseinv  1
gfxshadow 1
grabdistance 26




#weapons    SONIC_ SONIC__

palette       data/chars/Neku/Pal0G

alternatepal  data/chars/Neku/Pal1
alternatepal  data/chars/Neku/Pal2
alternatepal  data/chars/Neku/Pal3
alternatepal  data/chars/Neku/Pal4
alternatepal  data/chars/Neku/Pal5




com a2 Freespecial4
com a3 Freespecial5
com a4 Freespecial6
jumpmove  3  2
atchain 1 1 0

animationscript data/scripts/script.c



anim	attack1
	loop	0
	delay	3
	offset	157 138
	cancel	7 10 0 a freespecial
	bbox	156 102 25 36
	frame	data/chars/Neku/A1-0.gif
		bbox  152  101  17  38
	@cmd	shoot "NAfx1A" 0 0 0
	frame	data/chars/Neku/A1-1.gif
	move	12
		bbox  155  103  27  34
		attack2  156  103  61  35  9  0  0  0  0  20
	frame	data/chars/Neku/A1-2.gif
	move	6
	frame	data/chars/Neku/A1-3.gif
	move	2
	frame	data/chars/Neku/A1-4.gif
		bbox  156  101  24  39
		Attack1  0
	frame	data/chars/Neku/A1-5.gif
	move	0
		bbox  156  95  19  43
	frame	data/chars/Neku/A1-6.gif
	delay	2
		Attack1  0
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif

anim	dodge
	loop	0
	delay	5
	offset	157 138
	frame	data/chars/Neku/RunA-0.GIF
	frame	data/chars/Neku/RunA-2.GIF
	frame	data/chars/Neku/RunA-3.GIF
	frame	data/chars/Neku/RunA-4.GIF
	frame	data/chars/Neku/RunA-5.GIF
	frame	data/chars/Neku/RunA-6.GIF
	frame	data/chars/Neku/RunA-7.GIF
anim	fall
	loop	0
	offset	152 138
	delay	12
	quakeframe	0 3 4
	Landframe	3
	attack3	132 109 53 22 10 0 0 0 0 20
	Bbox	132 109 53 22
	#sound	Data/CHARS/Sonic/whoa.wav
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	frame	data/chars/Neku/Fall0.gif
	delay	500
	attack3	140 102 46 26 10 0 0 0 0 20
	bbox    140 102 46 26
	offset  153  128
	frame	data/chars/Neku/Fall1.gif
	bbox	0
	delay	4
	Attack1	0
		offset  153  134
	frame	data/chars/Neku/Fall2.gif
	frame	data/chars/Neku/Fall3.gif
	frame	data/chars/Neku/Fall4.gif
		offset  153  136
	frame	data/chars/Neku/Fall5.gif

anim	freespecial
	loop	0
	delay	3
	offset	157 138
	cancel	7 10 0 a freespecial2
	bbox	156 102 25 36
	frame	data/chars/Neku/A1-0.gif
	@cmd	shoot "NAfx1B" 0 0 0
		bbox  152  101  17  38
	frame	data/chars/Neku/A1-1.gif
		bbox  155  103  27  34
		attack2  156  103  61  35  9  0  0  0  0  20
	frame	data/chars/Neku/A1-2.gif
	move	6
	frame	data/chars/Neku/A1-3.gif
	move	2
	frame	data/chars/Neku/A1-4.gif
		attack1  0
		bbox  156  101  24  39
	frame	data/chars/Neku/A1-5.gif
		bbox  156  95  19  43
	frame	data/chars/Neku/A1-6.gif
	delay	2
		Attack1  0
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif
	frame	data/chars/Neku/A1-6.gif

anim	freespecial2
	loop	0
	delay	4
	offset	157 138
	bbox	157 106 26 33
	frame	data/chars/Neku/A2-0.gif
		bbox  149  101  23  39
	frame	data/chars/Neku/A2-1.gif
		bbox  163  88  17  51
	@cmd	shoot "NAfx2" 0 0 0
	frame	data/chars/Neku/A2-2.gif
		bbox  157  89  28  50
	delay	2
		move  5
	frame	data/chars/Neku/A2-3.gif
	frame	data/chars/Neku/A2-3.gif
		bbox  162  110  34  28
		attack3  157  109  59  29  14  0  0  0  0  25
	frame	data/chars/Neku/A2-4.gif
	frame	data/chars/Neku/A2-4.gif
	delay	3
		bbox  155  120  31  19
	frame	data/chars/Neku/A2-5.gif
	frame	data/chars/Neku/A2-5.gif
		move  2
		Attack1  0
		delay  18
	frame	data/chars/Neku/A2-6.gif
		bbox  148  85  22  51
		move  0
	delay	7
	frame	data/chars/Neku/A2-7.gif

anim	freespecial4
	loop	0
	delay	4
	MPcost	10
	MPonly	1
	offset	157 138
	frame	data/chars/Neku/FSP1-0.gif
	frame	data/chars/Neku/FSP1-1.gif
	@cmd	shoot "NFSPs1" -10 0 0
	frame	data/chars/Neku/FSP1-2.gif
	frame	data/chars/Neku/FSP1-3.gif
	frame	data/chars/Neku/FSP1-4.gif
	frame	data/chars/Neku/FSP1-2.gif
	frame	data/chars/Neku/FSP1-3.gif
	frame	data/chars/Neku/FSP1-4.gif
	frame	data/chars/Neku/FSP1-1.gif

anim	freespecial5
	loop	0
	delay	4
	offset	157 138
	mpcost	15
	mponly	1
	frame	data/chars/Neku/FSP1-0.gif
	frame	data/chars/Neku/FSP1-1.gif
	@cmd	shoot "NFSPs2" -10 0 0
	frame	data/chars/Neku/FSP1-2.gif
	frame	data/chars/Neku/FSP1-3.gif
	frame	data/chars/Neku/FSP1-4.gif
	frame	data/chars/Neku/FSP1-2.gif
	frame	data/chars/Neku/FSP1-3.gif
