name RASH
health 500
mp 60
mprate 6
speed 13
running 23 3.9 2 1 1
type player
gfxshadow 1
grabdistance 40
icon	 data/chars/rash/Icon-A.gif 1
iconget  data/chars/rash/Icon-B.gif 1
iconpain data/chars/rash/Icon-C.gif 1
icondie  data/chars/rash/Icon-D.gif 1
makeinv 4
riseinv 1
dust dust
jumpmove 3 2
atchain 1 1 1 0
#weapons RASH_ RASH__ RASH___

COM A2 freespecial4
COM A3 freespecial5
COM A4 freespecial6

palette data/chars/rash/pal

alternatepal  data/chars/rash/Map1
alternatepal  data/chars/rash/Map2
alternatepal  data/chars/rash/Map3





anim	attack1
	loop	0
	delay	2
	offset	88 195
	bbox	82 145 20 50
	cancel	8 11 0 a freespecial
	fastattack	1
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a2.gif
	frame	data/chars/rash/a3.gif
	attack1	95 140 35 25 6 0 0 0 0 20
	DropV	1 2
	frame	data/chars/rash/a4.gif
	move	1
	attack1	0 0 0 0 0
	frame	data/chars/rash/a4.gif
	move	0
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a1.gif
	delay	2
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif

anim	fall
	loop	0
	offset	88 195
	delay	5
	Landframe	2
	sound	data/chars/rash/fall.wav
	@cmd	changeentityproperty getlocalvar("self") "subject_to_platform" 1
	bbox	73 141 47 42
	attack3	73 141 47 42 10 0 0 0 0 20
	DropV	1 3
	frame	data/chars/rash/fall1.gif
	delay	500
	frame	data/chars/rash/fall1.gif
	delay	5
	bbox	0
	attack1	0
	frame	data/chars/rash/fall4.gif

anim	freespecial
	loop	0
	delay	2
	offset	88 195
	bbox	82 145 20 50
	cancel	8 11 0 a freespecial2
	fastattack	1
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a2.gif
	frame	data/chars/rash/a3.gif
	attack1	95 140 35 25 6 0 0 0 0 20
	DropV	1 2
	frame	data/chars/rash/a4.gif
	move	1
	attack1	0 0 0 0 0
	frame	data/chars/rash/a4.gif
	move	0
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a4.gif
	frame	data/chars/rash/a1.gif
	delay	2
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a1.gif

anim	freespecial2
	loop	0
	delay	2
	offset	88 195
	bbox	82 145 20 50
	cancel	8 11 0 a freespecial3
	fastattack	1
	sound	data/chars/rash/p2.wav
	frame	data/chars/rash/a5.gif
	move	1
	frame	data/chars/rash/a6.gif
	attack1	95 140 40 25 6 0 0 0 0 20
	DropV	1 2
	frame	data/chars/rash/a7.gif
	attack1	0 0 0 0 0
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	move	0
	frame	data/chars/rash/a6.gif
	frame	data/chars/rash/a5.gif
	delay	2
	frame	data/chars/rash/a5.gif
	frame	data/chars/rash/a5.gif
	frame	data/chars/rash/a5.gif
	frame	data/chars/rash/a5.gif

anim	freespecial3
	loop	0
	delay	3
	offset	88 195
	bbox	82 145 20 50
	fastattack	1
	hitflash	bwam
	hitfx	data/sounds/beat2.wav
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a8.gif
	move	1
	sound	data/chars/rash/p3.wav
	attack3	95 140 55 50 30 0 0 0 20 20
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a91.gif
	attack1	0 0 0 0 0 0
	frame	data/chars/rash/a91.gif
	frame	data/chars/rash/a92.gif
	frame	data/chars/rash/a92.gif
	move	0
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a92.gif

anim	freespecial4
	loop	0
	delay	3
	MPcost	10
	MPonly	1
	offset	88 195
	jumpframe	11 1
	sound	data/chars/rash/p2.wav
	frame	data/chars/rash/a5.gif
	move	1
	frame	data/chars/rash/a6.gif
	attack2	93 151 46 46 6 0 0 0 0 20
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	frame	data/chars/rash/a7.gif
	attack1	0 0 0 0 0
	move	0
	frame	data/chars/rash/a6.gif
	frame	data/chars/rash/a5.gif
	delay	12
	offset	93 195
	hitflash	boom
	frame	data/chars/rash/ba93.gif
	delay	6
	frame	data/chars/rash/ba93.gif
	sound	data/sounds/beat2.wav
	move	5
	delay	2
	blast	111 138 52 56 12 1 0 10 20
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	frame	data/chars/rash/ba94.gif
	attack1	0
	frame	data/chars/rash/ba94.gif
	move	0
	delay	25
	frame	data/chars/rash/ba94.gif

anim	freespecial5
	loop	0
	delay	4
	MPcost	15
	MPonly	1
	offset	88 165
	Fastattack	1
	Landframe	10
	hitfx	data/sounds/beat2.wav
	Jumpframe	0 2.8 3
	@cmd	changeentityproperty getlocalvar("self") "subject_to_platform" 1
	sound	data/chars/rash/sp.wav
	frame	data/chars/rash/jr1.gif
	sound	data/chars/rash/p1.wav
	attack1	97 135 50 36 20 1 0 0 0 20
	frame	data/chars/rash/jr2.gif
	attack1	59 143 56 21 20 1 0 0 0 20
	frame	data/chars/rash/jr3.gif
	sound	data/chars/rash/p1.wav
	frame	data/chars/rash/jr8.gif
	attack1	65 145 54 22 20 1 0 0 0 20
	frame	data/chars/rash/jr9.gif
	attack1	31 138 52 36 20 1 0 0 0 20
	frame	data/chars/rash/jr10.gif
	attack1	0
	frame	data/chars/rash/jr11.gif
	sound	data/chars/rash/p1.wav
	attack1	98 107 41 52 20 1 0 0 0 20
	frame	data/chars/rash/jr1.gif
	attack1	97 135 50 36 20 1 0 0 0 20
	frame	data/chars/rash/jr2.gif
	attack1	59 143 56 21 20 1 0 0 0 20
	delay	100
	frame	data/chars/rash/jr3.gif
	delay	4
	frame	data/chars/rash/jr3.gif

anim	freespecial6
	loop	0
	delay	3
	MPcost	20
	MPonly	1
	offset	88 195
	Fastattack	1
	jumpframe	24 2
	hitflash	bwam
	hitfx	data/sounds/beat2.wav
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a8.gif
	move	2
	sound	data/chars/rash/p3.wav
	attack2	95 140 55 50 8 0 0 0 0 20
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a91.gif
	attack1	0 0 0 0 0 0
	frame	data/chars/rash/a91.gif
	frame	data/chars/rash/a92.gif
	frame	data/chars/rash/a92.gif
	move	0
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a92.gif
	frame	data/chars/rash/a1.gif
	frame	data/chars/rash/a8.gif
	move	2
	sound	data/chars/rash/p3.wav
	attack2	95 140 55 50 8 0 0 0 0 20
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a9.gif
	frame	data/chars/rash/a91.gif
	attack1	0 0 0 0 0 0
	frame	data/chars/rash/a91.gif
	frame	data/chars/rash/a92.gif
	frame	data/chars/rash/a92.gif
	move	0
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a93.gif
	frame	data/chars/rash/a92.gif
	delay	2
	offset	88 199
	frame	data/chars/rash/at1.gif
	move	5
	frame	data/chars/rash/at2.gif
	sound	data/sounds/beat2.wav
	blast	108 128 35 71 12 1 0 10 20
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	attack1	0 0 0 0 0 0
	frame	data/chars/rash/at3.gif
	frame	data/chars/rash/at3.gif
	move	0
	delay	30
	offset	88 195
	frame	data/chars/rash/at3.gif
	delay	9
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	get
	loop	0
	offset	88 195
	delay	10
	frame	data/chars/rash/get.gif

anim	idle
	loop	1
	delay	13
	offset	88 195
	bbox	80 155 29 44
	drawmethod scalex 1.4
	drawmethod scaley 1.4
	frame	data/chars/rash/idle.gif
	@cmd	changeentityproperty getlocalvar("self") "subject_to_platform" 1
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle2.gif
	frame	data/chars/rash/idle.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle5.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle4.gif
	frame	data/chars/rash/idle.gif
	delay	9
	frame	data/chars/rash/idle7.gif
	frame	data/chars/rash/idle8.gif
	frame	data/chars/rash/idle9.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle7.gif
	frame	data/chars/rash/idle8.gif
	frame	data/chars/rash/idle9.gif
	frame	data/chars/rash/idle91.gif
	frame	data/chars/rash/idle91.gif

anim	jump
	loop	0
	delay	6
	offset	88 190
	bbox	82 138 28 52
	dropframe	5
	sound	data/chars/rash/p2.wav
	@cmd	changeentityproperty getlocalvar("self") "subject_to_platform" 1
	frame	data/chars/rash/j1.gif
	bbox	80 124 36 31
	frame	data/chars/rash/j2.gif
	frame	data/chars/rash/j3.gif
	frame	data/chars/rash/j4.gif
	frame	data/chars/rash/j5.gif
	frame	data/chars/rash/j6.gif
	frame	data/chars/rash/j7.gif
	frame	data/chars/rash/j8.gif
	frame	data/chars/rash/j9.gif
	bbox	80 138 30 52
	frame	data/chars/rash/j1.gif

anim	walkoff
	loop	0
	delay	10
	offset	88 190
        Landframe 2
        Jumpreframe 0 0 0
	bbox	80 138 30 52
	frame	data/chars/rash/j1.gif
	@cmd	changeentityproperty getlocalvar("self") "Subject_to_Platform" 1
	delay	500
	frame	data/chars/rash/j1.gif
	bbox	0
	delay	8
	offset	88 195
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	Jumpland
	loop	0
	delay	8
	offset	88 195
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	jumpattack
	loop	0
	delay	8
	offset	88 190
	bbox	82 125 20 50
	sound	data/chars/rash/p1.wav
	@cmd	changeentityproperty getlocalvar("self") "subject_to_platform" 1
	frame	data/chars/rash/a93.gif
	offset	88 175
	frame	data/chars/rash/ja1.gif
	attack3	85 125 45 40 10 0 0 0 15 20
	DropV	1 3
	frame	data/chars/rash/ja2.gif
	frame	data/chars/rash/ja2.gif
	frame	data/chars/rash/ja3.gif
	frame	data/chars/rash/ja3.gif
	offset	88 190
	bbox	82 135 20 50
	attack3	85 135 45 40 10 0 0 0 15 20
	DropV	1 3
	frame	data/chars/rash/j1.gif
	attack1	0 0 0 0 0 0
	frame	data/chars/rash/j1.gif

anim	land
	loop	0
	delay	8
	offset	114 139
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	pain
	loop	0
	delay	5
	offset	88 195
	sound	data/chars/rash/pain.wav
	bbox	78 144 35 59
	frame	data/chars/rash/pain.gif
	offset	84 195
	frame	data/chars/rash/pain.gif
	offset	86 195
	delay	30
	frame	data/chars/rash/pain.gif

anim	pain2
	loop	0
	offset	88 195
	bbox	78 144 35 59
	delay	3
	quakeframe	0 3 4
	Move	-3
	sound	data/chars/rash/pain.wav
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Attack1	0
	frame	data/chars/rash/pain.gif
	Move	-2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	-1
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	0
	delay	8
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif

anim	pain3
	loop	0
	offset	88 195
	bbox	78 144 35 59
	delay	2
	quakeframe	0 3 4
	Landframe	14
	Jumpframe	0 2
	Move	-5
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Attack1	0
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	-4
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	-3
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	-2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	Move	-1
	frame	data/chars/rash/pain.gif
	delay	100
	frame	data/chars/rash/pain.gif
	Move	0
	delay	2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	delay	8
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif

anim	pain4
	loop	0
	delay	6
	offset	90 195
	bbox	70 176 45 28
	sound	data/chars/rash/pain.wav
	frame	data/chars/rash/fall4.gif
	offset	87 195
	frame	data/chars/rash/fall4.gif
	offset	89 195
	frame	data/chars/rash/fall4.gif
	offset	87 195
	frame	data/chars/rash/fall4.gif
	offset	89 195
	frame	data/chars/rash/fall4.gif
	offset	87 195
	frame	data/chars/rash/fall4.gif
	offset	89 195
	frame	data/chars/rash/fall4.gif
	offset	87 195
	frame	data/chars/rash/fall4.gif
	offset	89 195
	delay	50
	frame	data/chars/rash/fall4.gif
	offset	88 195
	delay	10
	bbox	0 0 0 0
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/fall4.gif
	frame	data/chars/rash/rise1.gif
	frame	data/chars/rash/rise2.gif

anim	pain5
	loop	0
	offset	88 195
	bbox	78 144 35 59
	jumpframe	0 3
	delay	3
	quakeframe	0 3 4
	frame	data/chars/rash/pain.gif
	delay	2
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	frame	data/chars/rash/pain.gif
	delay	9
	frame	data/chars/rash/pain.gif

anim	pain6
	loop	0
	offset	88 195
