name	RATMAN
health	50
speed	8
type	enemy
shadow  5
icon	   data/chars/ratman/icon.gif
iconpain   data/chars/ratman/iconP.gif
icondie    data/chars/ratman/iconD.gif
candamage Enemy Player

alternatepal  data/chars/ratman/map1.gif
alternatepal  data/chars/ratman/map2.gif
alternatepal  data/chars/ratman/map3.gif
alternatepal  data/chars/ratman/map4.gif

dust   dust
escapehits 5

anim respawn
	loop	0
	offset	90 192
	delay	5
        sound   data/sounds/spawn.wav
	frame	data/chars/ratman/idle.gif


anim idle
	loop	1
	offset	90 192
	bbox	75 105 40 90
	delay	11
	frame	data/chars/ratman/idle.gif
	frame	data/chars/ratman/idle2.gif
	frame	data/chars/ratman/idle3.gif
	frame	data/chars/ratman/idle3.gif
	frame	data/chars/ratman/idle2.gif
	frame	data/chars/ratman/idle.gif




anim walk
	loop	1
	offset	90 192
	bbox	75 105 40 90
	delay   11
	frame	data/chars/ratman/w1.gif
	frame	data/chars/ratman/idle3.gif
	frame	data/chars/ratman/w2.gif
	frame	data/chars/ratman/idle3.gif



anim pain
	loop	0
	delay	6
	offset	90 192
	bbox	75 105 40 90
        sound   data/chars/ratman/pain.wav
        move    0
	frame	data/chars/ratman/pain.gif
	offset  87 192
	frame	data/chars/ratman/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/ratman/pain.gif

anim spain
	loop	0
	delay	6
	offset	90 192
	bbox	75 105 40 90
        sound   data/chars/ratman/pain.wav
	frame	data/chars/ratman/pain.gif
	offset  87 192
	frame	data/chars/ratman/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/ratman/pain.gif

anim grabbed
	loop	0
	delay	6
	offset	90 192
	bbox	75 105 40 90
	frame	data/chars/ratman/pain.gif
	offset  87 192
	frame	data/chars/ratman/pain.gif
	offset  89 192
	delay   40
	frame	data/chars/ratman/pain.gif

anim bpain
	loop	0
	delay	6
	offset	90 192
	bbox	65 102 46 76
        sound   data/chars/ratman/pain.wav
	frame	data/chars/ratman/fall4.gif
	offset  87 192
	frame	data/chars/ratman/fall4.gif
	offset  89 192
	frame	data/chars/ratman/fall4.gif
	offset  87 192
	frame	data/chars/ratman/fall4.gif
	offset  89 192
	frame	data/chars/ratman/fall4.gif
	offset  87 192
	frame	data/chars/ratman/fall4.gif
	offset  89 192
	frame	data/chars/ratman/fall4.gif
	offset  87 192
	frame	data/chars/ratman/fall4.gif
	offset  89 192
	delay   50
	frame	data/chars/ratman/fall4.gif

anim fall
	loop	0
	offset	90 192
	delay   30
        sound   data/chars/ratman/fall.wav
	frame	data/chars/ratman/fall1.gif
	attack  85 125 25 50 5 1
	frame	data/chars/ratman/fall1.gif
	attack  0 0 0 0 0 0 0 0 0
	delay   40
	frame	data/chars/ratman/fall4.gif

anim rise
	loop	0
	offset	90 192
	delay	10
	frame	data/chars/ratman/fall4.gif
	frame	data/chars/ratman/rise1.gif
	frame	data/chars/ratman/rise2.gif

anim attack1
	loop	0
	delay	5
	offset	90 192
	bbox	75 105 40 90
        move    3
        hitflash    pow
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
        move    0
		attack  83  136  75  58  15
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
        move    0
		attack  83  136  75  58  15  1
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif

anim attack2
	loop	0
	delay	3
	offset	90 192
	bbox	75 105 40 90
        move    3
        hitflash    pow
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
        move    0
		attack  83  136  75  58  15
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
        move    0
		attack  83  136  75  58  15
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
        move    0
		attack  83  136  75  58  15  1
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a91.gif
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a8.gif


anim special2
	range	0 8
	loop	0
	delay	7
	offset	90 192
	frame	data/chars/ratman/a8.gif
        sound   data/chars/ratman/a1.wav
	frame	data/chars/ratman/a8.gif
	frame	data/chars/ratman/a9.gif
	attack  90 140 65 25 15 1
	frame	data/chars/ratman/a91.gif
	attack  0 0 0 0 0 0
