name	S-Wave
type	pshot
shadow	0
nolife  1
remove  0
Speed   16
candamage enemy obstacle


anim idle
	loop	1
	delay	5
	offset	133 138
        hitflash Flash2
        blast  108  86  39  56  16
	frame	data/chars/Sonic/S-Wave0.gif
	frame	data/chars/Sonic/S-Wave1.gif
	frame	data/chars/Sonic/S-Wave2.gif
	frame	data/chars/Sonic/S-Wave3.gif
	frame	data/chars/Sonic/S-Wave4.gif
	frame	data/chars/Sonic/S-Wave5.gif
	frame	data/chars/Sonic/S-Wave1.gif
	frame	data/chars/Sonic/S-Wave2.gif
	frame	data/chars/Sonic/S-Wave3.gif
	frame	data/chars/Sonic/S-Wave4.gif
	frame	data/chars/Sonic/S-Wave5.gif
	frame	data/chars/Sonic/S-Wave1.gif
	frame	data/chars/Sonic/S-Wave2.gif
	frame	data/chars/Sonic/S-Wave3.gif
	frame	data/chars/Sonic/S-Wave4.gif
	frame	data/chars/Sonic/S-Wave5.gif
	frame	data/chars/Sonic/S-Wave1.gif
	frame	data/chars/Sonic/S-Wave2.gif
	frame	data/chars/Sonic/S-Wave3.gif
	frame	data/chars/Sonic/S-Wave4.gif
	frame	data/chars/Sonic/S-Wave5.gif





