# Street
music		data/music/20red.bor
notime  1
# Load images


# Front layer



# Load 'panels'. Up to 26 panels can be loaded.
# They can be referenced using A-Z
# Specify normal, neon and screen, or 'none'
background	data/bgs/city/ba.gif
panel		data/bgs/city/fu1.gif	   none			none
panel		data/bgs/city/fu2.gif	   none			none

# ab = Pinepot left
# c = wall, ridge left
# d = wall, ridge right + 078
# e = window
# f = door
# g = wall
# h = Club K neon


# Set the order (don't make the lines too long)
# Syntax:
#	order	[a...z]		(a sequence of panels, e.g. abcdefghij)
#	order	[a...z]
#
order	ab




# Spawn format:
#
#	spawn	[id]
#	alias	[name]		(change the displayed name, optional)
#	map	[num]		(colourmap, range 0-3, optional)
#	health	[num]		(optional)
#	item	[id]		(obstacles only: contained item, optional)
#	boss	[0/1]		(see below, optional)
#	flip	[0/1]		(0 = face left, 1 = face right, optional)
#	coords	[num] [num]	(coords relative to scrollpos)
#	at	[scrollpos]
#
# Also:
#	wait			(blocks scrolling until all enemies defeated)
#	at	[scrollpos]
#
# And:
#	group	[min] [max]	(set minimum and maximum enemies, see below)
#	at	[scrollpos]
#
#
#
# Using group, you may set two values, namely:
#
# [min]
# If the number of enemies drops below [min], more enemies will be spawned
# (if possible).
#
# [max]
# No more than [max] enemies will be present.
#
# So, to make enemies appear in groups of four, use this:
# group 1 4
#
# To make them appear normally, use this:
# group 4 4

#--group1----

group 	6 8
at	320


spawn	Slug
coords	350 160
health	30
at	10


spawn	bot3
item 	rap
health	10
coords	360 195
at	20
spawn	bot3
coords	350 160
health	3
at	10





#---group2----------
spawn	Phantom
map	2
health	6
coords	350 190
at	200

spawn	Phantom
item	laz
map	1
health	3
coords	-30 220
at	220
wait
at	220

spawn	Zaku
map	2
health	60
coords	350 190
at	200

spawn	bot3
map	1
health	3
coords	-30 160
at	220

spawn	bot3
item	hom
map	1
health	5
coords	-30 220
at	220

spawn	bot3
item	hom
map	2
health	6
coords	350 190
at	200



spawn	bot2
item	rap
map	1
health	3
coords	-30 220
at	220

spawn	bot3
item	extra
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot2
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	35
coords	-30 220
at	220

spawn	bot3
map	2
health	0
coords	350 190
at	200

spawn	bot3
item	extra
map	1
health	35
coords	-30 160
at	220

spawn	bot3
map	1
health	5
coords	-30 220
at	220

spawn	bot2
map	2
health	6
coords	350 190
at	200

spawn	bot3
item	extra
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot3
map	1
health	3
coords	-30 160
at	220

spawn	bot2
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot2
map	2
health	6
coords	350 190
at	200

spawn	bot3
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot2
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200

spawn	bot2
map	1
health	3
coords	-30 160
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	2
health	6
coords	350 190
at	200


spawn	bot3
map	1
health	3
coords	-30 220
at	220

spawn	bot2
map	1
health	3
coords	-30 220
at	220

spawn	bot2
map	1
health	3
coords	-30 220
at	220

spawn	bot3
map	1
health	3
coords	-30 220
at	320

spawn	bot2
map	1
health	3
coords	-30 220
at	320

spawn	bot3
map	1
health	35
coords	-30 220
at	320

wait
at	320

#--group3-----------



spawn	Slug
health	10
coords	-30 200
at	450

spawn	bigbot
health	140
map	2
coords	340 210
at	470

spawn	bigbot
health	10
map	2
coords	340 210
at	470 

spawn	Zaku
health	140
coords	350 165
at	470

spawn	bot2
health	3
map	1
coords	-30 180
at	470

wait
at 	540
	
#------------



group	1 4
at 	620

spawn	bot3
health	3
coords	350 165
at	610

spawn	bot2
health	5
coords	350 220
at	610




spawn	bot3
health	3
coords	350 165
at	610

spawn	bot2
health	5
coords	350 220
at	610

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot3
health	5
coords	350 220
at	710
spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot3
health	5
coords	350 220
at	710
spawn	bot3
health	30
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	30
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot3
health	5
coords	350 220
at	710
spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	3
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	Zaku
health	30
coords	350 165
at	710

spawn	bot2
health	5
coords	350 220
at	710

spawn	bot3
health	30
coords	350 165
at	710

spawn	Zaku
health	50
coords	350 220
at	710
wait
at	720

#--------------

group	10 10
at	950

wait
at	960

spawn	bot2
map	2
health	5
coords	350 220
at	960
spawn	bot3
map	2
health	5
coords	350 220
at	960
spawn	bot2
map	2
health	5
coords	350 220
at	960
spawn	bot3
map	2
health	5
coords	350 220
at	960

spawn	bot3
map	2
health	5
coords	350 220
at	960

spawn	Slug
health	5
coords	-30 170
at	960

spawn	Zaku
health	70
coords	350 170
at	960

spawn	Zaku
map	1
health	7
coords	350 170
at	960

spawn	Slug
map	2
health	4
coords	-30 190
at	960

spawn	phantom
health	10
coords	-30 230
at	960


group	10 10
at	1000

#---------





spawn	Slug
health	80
coords	-30 220
at	1150

spawn	Slug
map	2
health	30
coords	350 200
at	1150

spawn	Zaku
map	1
health	80
coords	350 180
at	1150

wait
at	1200

#---------

spawn	bot3
map	1
health	70
coords	350 228
at	1400

spawn	bot3
map	2
health	65
coords	-30 226
at	1420

spawn	bot3
health	60
coords	350 200
at	1430

spawn	Phantom
map	1
health	70
coords	-30 165
at	1430


spawn	bigbot
map	0
health	40
coords	350 165
at	1750

spawn	Zaku
map	1
health	60
coords	350 230
at	1750
wait
at	1755

spawn	bot3
map	2
health	190
coords	350 190
at	1760

spawn	Phantom
map	2
health	190
coords	380 210
at	1760

group	10 10
wait
at	2200


spawn	bot3
map	2
health	80
coords	-30 165
at	1930

spawn	bot3
map	0
health	40
coords	350 165
at	1950

spawn	bot3
map	1
health	40
coords	350 165
at	1950


spawn	bot3
health	150
coords	350 200
at	2200

spawn	Phantom
map	2
health	50
coords	350 225
at	2200

spawn	bot3
map	2
health	80
coords	-30 165
at	1930

spawn	bot3
map	0
health	40
coords	350 165
at	1950

spawn	zaku
map	1
health	40
coords	350 165
at	1950


spawn	bot3
health	15
coords	350 200
at	2200

spawn	Phantom
map	2
health	15
coords	350 225
at	2200






