name	blood2
type	none
setlayer 5
nomove 1 1
jumpheight 0
cantgrab 1
facing 1
animationscript data/scripts/flash.c
anim idle
	loop 1
	delay 1
	move 1
	offset 14 26
	bbox    0 0 0 0
	frame	data/chars/misc/bloodd9
anim attack1
	delay 1
	move -2
	offset 27 19
	bbox    0 0 0 0
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd4
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd5
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	frame	data/chars/misc/bloodd8
	delay 1
	frame	data/chars/misc/empty
anim attack2
	delay 10
	offset 27 19
	bbox    0 0 0 0
	@cmd velo001 -2 0 0
	frame	data/chars/misc/bloodd1
	frame	data/chars/misc/bloodd2
	frame	data/chars/misc/bloodd3
	frame	data/chars/misc/bloodd4
	delay 400
	frame	data/chars/misc/bloodd5
	delay 10
	frame	data/chars/misc/bloodd6
	frame	data/chars/misc/bloodd7
	frame	data/chars/misc/bloodd8
	delay 1
	frame	data/chars/misc/empty
