name		chst1
health 50
type  obstacle
shadow		0
falldie	1
icon data/chars/misc2/chst/chst1.gif
gfxshadow	1
ondeathscript	 data/scripts/dth/chst.c



anim	death
	delay	19
	offset	26 38
	frame	data/chars/misc2/chst/1.gif
	offset	28 41
	frame	data/chars/misc2/chst/2.gif
	offset	48 68
	frame	data/chars/misc2/chst/3.gif
	offset	48 47
	frame	data/chars/misc2/chst/4.gif
	frame	data/chars/misc2/chst/5.gif
	frame	data/chars/misc2/chst/6.gif
	frame	data/chars/misc2/chst/7.gif
	frame	data/chars/misc2/chst/8.gif
	delay	36
	frame	data/chars/misc2/chst/9.gif
		
anim	idle
	bbox	0 0 77 44
	sound	data/sounds/bukk.wav
	delay	7
	offset	26 38
	platform	28 45 -38 -48 32 14 12 30
	frame	data/chars/misc2/chst/1.gif
		
#|edited by openBor Stats v 0.50
		
