name fbubb
type	none
shadow	0
toflip  1
alpha   1




anim	idle
	loop	0
	delay	4
	offset	96 100
	quakeframe	0 1 2
	offset	14 20
	frame	data/chars/misc2/flsh/bubb1.gif
	offset	16 18
	frame	data/chars/misc2/flsh/bubb2.gif
	offset	22 20
	frame	data/chars/misc2/flsh/bubb3.gif
	offset	26 23
	frame	data/chars/misc2/flsh/bubb4.gif
	offset	35 26
	frame	data/chars/misc2/flsh/bubb5.gif
	offset	25 30
	frame	data/chars/misc2/flsh/bubb6.gif
	offset	28 39
	frame	data/chars/misc2/flsh/bubb7.gif
	offset	9 20
	frame	data/chars/misc2/flsh/bubb8.gif
	offset	10 22
	frame	data/chars/misc2/flsh/bubb9.gif
	offset	13 24
	frame	data/chars/misc2/flsh/bubb10.gif
		
#|edited by openBor Stats v 0.50
		
