name fysp2
type	none
shadow	0
toflip  1
alpha   1

anim	idle
	delay	7
	offset	14 19
	frame	data/chars/misc2/flsh/fysp21.gif
	offset	23 16
	frame	data/chars/misc2/flsh/fysp22.gif
	offset	21 32
	frame	data/chars/misc2/flsh/fysp23.gif
	offset	22 45
	frame	data/chars/misc2/flsh/fysp24.gif
	offset	26 35
	frame	data/chars/misc2/flsh/fysp25.gif
	offset	30 23
	frame	data/chars/misc2/flsh/fysp26.gif
	offset	34 25
	frame	data/chars/misc2/flsh/fysp27.gif
	offset	36 26
	frame	data/chars/misc2/flsh/fysp28.gif
	offset	24 13
	frame	data/chars/misc2/flsh/fysp29.gif
	offset	35 38
	frame	data/chars/misc2/flsh/fysp210.gif
	offset	37 35
	frame	data/chars/misc2/flsh/fysp211.gif
		
#|edited by openBor Stats v 0.50
		
