#Edited by vision     KillaKat.com
name	VisioN
health	150
speed	11
type	enemy#player
shadow	5
diesound data/sounds/die1.wav
icon	data/chars/vision/icon.gif

remap data/chars/vision/stand.gif data/chars/vision/map1.gif
remap data/chars/vision/stand.gif data/chars/vision/map2.gif

anim idle
	loop	1
	delay	10
	offset	39 87
	bbox	20 12 33 69
	frame	data/chars/vision/idle1.gif
	frame	data/chars/vision/idle2.gif
	frame	data/chars/vision/idle3.gif
	frame	data/chars/vision/idle4.gif
	frame	data/chars/vision/idle5.gif
	frame	data/chars/vision/idle6.gif
	frame	data/chars/vision/idle7.gif
	frame	data/chars/vision/idle8.gif
	frame	data/chars/vision/idle9.gif
		
anim walk
	loop	1
	delay	8
	offset	47 96
	bbox	33 17 35 73
	frame	data/chars/vision/walk1.gif
	frame	data/chars/vision/walk2.gif
	frame	data/chars/vision/walk3.gif
	frame	data/chars/vision/walk4.gif
	frame	data/chars/vision/walk5.gif
	frame	data/chars/vision/walk6.gif
	frame	data/chars/vision/walk7.gif
			
anim get
	loop	0
	delay	5
	sound	data/chars/vision/get1.wav
	offset	36 86
	frame	data/chars/vision/get1.gif
	frame	data/chars/vision/get2.gif
	frame	data/chars/vision/get3.gif
	frame	data/chars/vision/get4.gif
	frame	data/chars/vision/get5.gif
	frame	data/chars/vision/get6.gif
	frame	data/chars/vision/get7.gif
	frame	data/chars/vision/get8.gif

anim attack1
	loop	0
	delay	4
	bbox	22 19 34 62
	offset	32 91
	frame	data/chars/vision/atk101.gif
	bbox	32 17 34 62
	frame	data/chars/vision/atk102.gif
	attack	69 14 55 17 5
	frame	data/chars/vision/atk103.gif
	frame	data/chars/vision/atk102.gif
	frame	data/chars/vision/atk101.gif
	attack	0 0 0 0 0
	
anim attack2
	loop	0
	delay	5
	offset	44 90
	bbox	22 24 36 61
	frame	data/chars/vision/atk201.gif
	bbox	34 23 36 61
	frame	data/chars/vision/atk202.gif
	bbox	50 17 36 61
	attack	86 26 61 47 5 0
	frame	data/chars/vision/atk203.gif
	attack	0 0 0 0 0
	attack	91 23 68 47 5 0
	frame	data/chars/vision/atk204.gif
	frame	data/chars/vision/atk205.gif
	bbox	35 22 36 61
	frame	data/chars/vision/atk206.gif
	bbox	22 24 36 61
	frame	data/chars/vision/atk201.gif
	attack	0 0 0 0 0
	
anim attack3
	loop	0
	delay	6
	offset	38 158
	sound	data/chars/terry/pgeiser.wav
	bbox	21 93 37 63
	frame	data/chars/vision/atk301.gif
	bbox	40 91 37 63
	frame	data/chars/vision/atk302.gif
	attack	0 0 0 0 0
	bbox 	52 91 68 64
	attack	113 34 58 110 6 1
	frame	data/chars/vision/atk303.gif
	attack	0 0 0 0 0
	attack	41 14 128 88 6 1
	frame	data/chars/vision/atk304.gif
	frame	data/chars/vision/atk305.gif
	frame	data/chars/vision/atk306.gif
	frame	data/chars/vision/atk307.gif
	attack	0 0 0 0 0
	bbox	54 88 32 65
	frame	data/chars/vision/atk308.gif
	delay	15
	bbox	40 91 37 63
	frame	data/chars/vision/atk309.gif
	bbox	21 93 37 63
	frame	data/chars/vision/atk310.gif
	
anim special
	loop	0
	delay	10
	offset	90 290
	sound	data/chars/vision/super.wav
	frame	data/chars/vision/super5.gif
	frame	data/chars/vision/super6.gif
	frame	data/chars/vision/super7.gif
	frame	data/chars/vision/super8.gif
	frame	data/chars/vision/super9.gif
	frame	data/chars/vision/super8.gif
	frame	data/chars/vision/super9.gif
	frame	data/chars/vision/super8.gif
	frame	data/chars/vision/super9.gif
	frame	data/chars/vision/super8.gif
	frame	data/chars/vision/super9.gif
	frame	data/chars/vision/super8.gif
