name	 telehel
health   200
type     enemy
speedf		0.5
jumpheight	0
nolife   1
falldie	 1
nodieblink	3
noquake		1
gfxshadow	0
nodrop		2
antigrab	10
nomove	 	1 1
subject_to_gravity 0
subject_to_minz    0
subject_to_maxz    0
lifespan 20
offscreenkill 	1000
hostile		player npc
candamage	player npc
setlayer	50

animationscript data/scripts/ani0020.h

load	teleha


anim	death
	loop	0
	delay	5
	offset	76 43
	bbox	0 0 0 0
	movez	-1
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	sound	data/sounds/heli1.wav
	movez	1
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	movez	-1
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	movez	1
	move	-6
	movez	-1
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	movez	1
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	movez	-1
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	sound	data/sounds/heli1.wav
	offset	150 155
	movez	1
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	movez	-1
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	movez	1
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	movez	-1
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	movez	1
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	67 43
	frame	data/levels/moto/telehel/h6.png
	offset	76 43
	frame	data/levels/moto/telehel/h5.png
	offset	68 75
	movez	-1
	frame	data/levels/moto/telehel/h1.png
	offset	74 75
	frame	data/levels/moto/telehel/h2.png
	offset	68 75
	frame	data/levels/moto/telehel/h1.png
	movez	1
	offset	74 75
	frame	data/levels/moto/telehel/h2.png
	offset	68 75
	frame	data/levels/moto/telehel/h1.png
	offset	74 75
