name	    		Damnd2
type	    		enemy
#hostile		player
#candamage		player enemy npc
health	    	55
mp          	100
speed	    		5
jumpspeed	    	10
jumpheight   	3
jumpmove 		3
turndelay 		12
mprate		5
#grabdistance	40
#grabfinish		0
#paingrab		1
grabback		1
antigravity 	10
bounce		1
noquake     	1
shadow	    	4
diesound    	data/sounds/die01.wav
flash 		flash
bflash 		guard
dust    		dust2
toflip		1
riseinv		1 1
riseattacktype	0
jugglepoints	15

aggression		0
nodieblink		1
falldie 		2
#risetime 		250
#nolife  1

#lifebarstatus 423 7 1 1 0 -300 -300 -300 -300
#lifeposition 37 218 
#nameposition 37 229
#iconposition 0 0

icon	      data/chars/damnd/eicon.gif
icondie     data/chars/damnd/eicond.gif

palette data/chars/damnd/damnd.gif #1

#	weapons     fighter1 fighter2 fighter3

#-------Select screen!

anim waiting
	 loop       1
	 offset     238 177
	 delay      8
       frame      data/chars/damnd/idle01.gif

anim select
#	 summonframe 3 -500 110 0 0
#	 subentity	super01
#	 unsummonframe 11
	 loop       1
	 offset     238 177
	 delay      8
       frame      data/chars/damnd/idle01.gif

#-------Moves

anim spawn
	jumpframe 1 3.3 2
	landframe  31
	jugglecost 	2
	fastattack 1
	hitfx   	data/sounds/beat2.wav

	loop       0
	offset     238 177
	bbox		0 0 0 0

	 delay	15
       frame      data/chars/damnd/a201.gif

 	 sound   	data/sounds/jump.wav
	 delay	6
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif
       frame      data/chars/damnd/a202.gif
       frame      data/chars/damnd/a203.gif
       frame      data/chars/damnd/a204.gif
       frame      data/chars/damnd/a205.gif
       frame      data/chars/damnd/a206.gif

	 delay	15
       frame      data/chars/damnd/a201.gif
       delay   	20
       sound   	data/sounds/laugh.wav
       frame   	data/chars/damnd/laugh02.gif
       frame   	data/chars/damnd/laugh01.gif
       frame   	data/chars/damnd/laugh02.gif
       frame   	data/chars/damnd/laugh01.gif
       frame   	data/chars/damnd/laugh02.gif
       frame   	data/chars/damnd/laugh01.gif
       delay   	50
       frame   	data/chars/damnd/idle01.gif


anim idle
	 loop       1
	 offset     238 177
	 bbox		230 112 22 66
	 delay      8
       frame      data/chars/damnd/idle01.gif

anim walk
	 loop       1
	 offset     238 177
	 bbox		230 112 22 66
	 delay      15
       frame      data/chars/damnd/walk01.gif
       frame      data/chars/damnd/walk02.gif
       frame      data/chars/damnd/walk01.gif
       frame      data/chars/damnd/idle01.gif

anim attack1
	range 0 50
	jugglecost 	2
#	cancel{#}	{start frame} 	{end frame} {didhit?} 	{sequence of inputs} 	{freespecial#}
