name	       Cody
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash flashp
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts/toad.c
icon		data/chars/Cody/icon.gif

com	d u a freespecial5
com	d d a freespecial2
com	u u a freespecial4
com	d f a freespecial
com	d f s freespecial6








anim	attack1
	hitfx	data/Chars/Rogue/hit.wav
	cancel	0 2 1 a2 freespecial20
	cancel	0 2 1 J freespecial21
	cancel	0 2 1 a3 freespecial22
	cancel	0 2 1 a4 freespecial23
	cancel	0 2 1 a3 freespecial22
	cancel	0 2 1 d u a freespecial5
	cancel	0 2 1 d d a freespecial2
	cancel	0 2 1 u u a freespecial4
	cancel	0 2 1 d f a freespecial
	cancel	0 2 1 d f s freespecial6
	bbox	32 2 22 98
	loop	0
	delay	6
	offset	33 99
	frame	data/Chars/Cody/attack1.gif
	attack	45 11 73 24 7 0 0 0 24 15
	frame	data/Chars/Cody/attack2.gif
	frame	data/Chars/Cody/attack3.gif
		
anim	attack2
	hitfx	data/Chars/Rogue/hit.wav
	cancel	0 2 1 a2 freespecial20
	cancel	0 2 1 J freespecial21
	cancel	0 2 1 a3 freespecial22
	cancel	0 2 1 a4 freespecial23
	cancel	0 2 1 a3 freespecial22
	cancel	0 2 1 d u a freespecial5
	cancel	0 2 1 d d a freespecial2
	cancel	0 2 1 u u a freespecial4
	cancel	0 2 1 d f a freespecial
	cancel	0 2 1 d f s freespecial6
	bbox	26 1 35 100
	loop	0
	delay	6
	offset	38 96
	frame	data/Chars/Cody/bttack1.gif
	frame	data/Chars/Cody/bttack2.gif
	attack	70 20 75 39 7 0 0 0 24 15
	bbox	0 0 0 0
	offset	46 103
	frame	data/Chars/Cody/bttack3.gif
		
anim	attack3
	hitfx	data/Chars/Rogue/hit.wav
	cancel	0 3 1 a2 freespecial20
	cancel	0 3 1 J freespecial21
	cancel	0 3 1 a3 freespecial22
	cancel	0 3 1 a4 freespecial23
	cancel	0 3 1 a3 freespecial22
	cancel	0 3 1 d u a freespecial5
	cancel	0 3 1 d d a freespecial2
	cancel	0 3 1 u u a freespecial4
	cancel	0 3 1 d f a freespecial
	cancel	0 3 1 d f s freespecial6
	bbox	8 4 43 97
	loop	0
	delay	6
	offset	32 101
	frame	data/Chars/Cody/cttack1.gif
	offset	28 99
	frame	data/Chars/Cody/cttack2.gif
	attack	32 18 101 44 7 0 0 0 24 15
	offset	37 97
	frame	data/Chars/Cody/cttack3.gif
	offset	33 101
	frame	data/Chars/Cody/cttack4.gif
		
anim	attack4
	hitfx	data/sounds/bukk.wav
	cancel	0 4 1 a2 freespecial20
	cancel	0 4 1 J freespecial21
	cancel	0 4 1 a3 freespecial22
	cancel	0 4 1 a4 freespecial23
	cancel	0 4 1 a3 freespecial22
	cancel	0 4 1 d u a freespecial5
	cancel	0 4 1 d d a freespecial2
	cancel	0 4 1 u u a freespecial4
	cancel	0 4 1 d f a freespecial
	cancel	0 4 1 d f s freespecial6
	bbox	25 10 34 92
	loop	0
	delay	6
	offset	49 106
	frame	data/Chars/Cody/dttack1.gif
	offset	39 103
	frame	data/Chars/Cody/dttack2.gif
	offset	39 104
	frame	data/Chars/Cody/dttack3.gif
	attack	47 4 90 50 12 1 0 0 24 15
	offset	47 106
	frame	data/Chars/Cody/dttack4.gif
	offset	39 106
	frame	data/Chars/Cody/dttack5.gif
		
anim	fall
	loop	0
	delay	6
	offset	57 103
	frame	data/Chars/Cody/fall1.gif
	offset	87 98
	frame	data/Chars/Cody/fall2.gif
	offset	108 89
	frame	data/Chars/Cody/fall3.gif
	offset	64 30
	frame	data/Chars/Cody/fall4.gif
		
anim	freespecial
	loop	0
	delay	6
	offset	38 107
	frame	data/Chars/Cody/anew1.gif
	frame	data/Chars/Cody/anew2.gif
	offset	47 109
	frame	data/Chars/Cody/anew3.gif
	offset	48 115
	frame	data/Chars/Cody/anew4.gif
	offset	48 100
	@cmd	spawn01 "codyc" 75 73 0
	frame	data/Chars/Cody/anew5.gif
	offset	35 95
	frame	data/Chars/Cody/anew6.gif
		
anim	freespecial2
	hitfx	data/sounds/bukk.wav
	bbox	10 5 56 94
	loop	0
	delay	6
	offset	44 103
	frame	data/Chars/Cody/bnew1.gif
	bbox	22 7 62 91
	offset	64 101
	frame	data/Chars/Cody/bnew2.gif
	offset	52 103
	frame	data/Chars/Cody/bnew3.gif
	@cmd	leaper 6 0 0
	delay	9
	attack	64 10 94 66 13 1 0 0 24 15
	dropv	3 -1 0
	bbox	27 3 55 69
	offset	48 78
	frame	data/Chars/Cody/bnew4.gif
	offset	48 85
	frame	data/Chars/Cody/bnew5.gif
		
anim	freespecial20
	hitfx	data/sounds/bukk.wav
	bbox	18 2 50 98
	loop	0
	delay	6
	offset	36 100
	frame	data/Chars/Cody/ax1.gif
	offset	36 108
	frame	data/Chars/Cody/ax2.gif
	attack	77 3 81 42 8 1 1 0 10 15
	dropv	1 4 0
	offset	36 97
	frame	data/Chars/Cody/ax3.gif
		
anim	freespecial21
	hitfx	data/sounds/bukk.wav
	bbox	23 11 35 96
	loop	0
	delay	6
	offset	35 121
	frame	data/Chars/Cody/bx1.gif
	bbox	14 3 35 84
	offset	33 95
	frame	data/Chars/Cody/bx2.gif
	@cmd	leaper 5 0 0
	delay	9
	attack	39 29 116 53 14 1 0 0 34 15
	offset	83 92
	bbox	30 3 42 81
	frame	data/Chars/Cody/bx3.gif
	offset	83 98
	frame	data/Chars/Cody/bx4.gif
		
anim	freespecial22
	hitfx	data/sounds/bukk.wav
	bbox	26 5 59 95
	loop	0
	delay	6
	offset	46 95
	frame	data/Chars/Cody/cx1.gif
	offset	46 96
	frame	data/Chars/Cody/cx2.gif
	offset	46 97
	frame	data/Chars/Cody/cx3.gif
