name	       Deadpool
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
hitflash flashp
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script		data/scripts2/toad.c

com             d f a freespecial
com             d f s freespecial10
com             d d a freespecial2
com		u u a freespecial3
com             d u a freespecial12
com             A2 freespecial4

icon           data/chars/Deadpool/icon.gif

anim	attack1
	cancel	0 4 1 d f a freespecial
	cancel	0 4 1 d f s freespecial10
	cancel	0 4 1 d d a freespecial2
	cancel	0 4 1 u u a freespecial3
	cancel	0 4 1 d u a freespecial12
	cancel	0 4 1 A2 freespecial4
	bbox	82 64 60 104
	loop	0
	delay	7
	offset	111 171
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Deadpool/attack1.gif
	offset	111 168
	frame	data/Chars/Deadpool/attack2.gif
	attack	106 76 96 23 7
	frame	data/Chars/Deadpool/attack3.gif
	frame	data/Chars/Deadpool/attack4.gif
	frame	data/Chars/Deadpool/attack5.gif
		
anim	attack2
	cancel	0 7 1 d f a freespecial
	cancel	0 7 1 d f s freespecial10
	cancel	0 7 1 d d a freespecial2
	cancel	0 7 1 u u a freespecial3
	cancel	0 7 1 d u a freespecial12
	cancel	0 7 1 A2 freespecial4
	hitflash	bblod2
	bbox	24 4 51 106
	loop	0
	delay	7
	offset	47 111
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Deadpool/bttack1.gif
	offset	47 127
	frame	data/Chars/Deadpool/bttack2.gif
	offset	57 113
	frame	data/Chars/Deadpool/bttack3.gif
	attack	75 4 99 99 7
	bbox	32 4 67 98
	offset	57 102
	frame	data/Chars/Deadpool/bttack4.gif
	bbox	19 2 60 72
	offset	58 72
	frame	data/Chars/Deadpool/bttack5.gif
	offset	65 83
	frame	data/Chars/Deadpool/bttack6.gif
	bbox	31 10 47 102
	offset	57 109
	frame	data/Chars/Deadpool/bttack7.gif
	bbox	28 7 43 118
	offset	59 122
	frame	data/Chars/Deadpool/bttack8.gif
		
anim	attack3
	cancel	0 6 1 d f a freespecial
	cancel	0 6 1 d f s freespecial10
	cancel	0 6 1 d d a freespecial2
	cancel	0 6 1 u u a freespecial3
	cancel	0 6 1 d u a freespecial12
	cancel	0 6 1 A2 freespecial4
	hitflash	bblod2
	bbox	40 14 48 104
	loop	0
	delay	6
	offset	60 116
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Deadpool/cttack1.gif
	bbox	56 27 39 92
	offset	80 118
	frame	data/Chars/Deadpool/cttack2.gif
	bbox	68 33 37 85
	frame	data/Chars/Deadpool/cttack3.gif
	attack	98 29 67 78 7
	frame	data/Chars/Deadpool/cttack4.gif
	frame	data/Chars/Deadpool/cttack5.gif
	frame	data/Chars/Deadpool/cttack6.gif
	frame	data/Chars/Deadpool/cttack7.gif
		
anim	attack4
	cancel	0 3 1 d f a freespecial
	cancel	0 3 1 d f s freespecial10
	cancel	0 3 1 d d a freespecial2
	cancel	0 3 1 u u a freespecial3
	cancel	0 3 1 d u a freespecial12
	cancel	0 3 1 A2 freespecial4
	hitflash	bblod2
	bbox	27 2 42 105
	loop	0
	delay	6
	offset	45 110
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/dttack1.gif
	frame	data/Chars/Deadpool/dttack2.gif
	frame	data/Chars/Deadpool/dttack3.gif
	sound	data/sounds/shot3.wav
	blast	83 2 37 108 16
	delay	8
	@cmd	spawn01 "deadpoola" 85 87 0
	frame	data/Chars/Deadpool/dttack4.gif
		
anim	fall
	loop	0
	offset	28 54
	delay	25
	frame	data/Chars/Deadpool/fall1.gif
	offset	43 70
	frame	data/Chars/Deadpool/fall2.gif
	offset	65 20
	bbox	0 0 0 0
	frame	data/Chars/Deadpool/fall3.gif
		
anim	freespecial
	cancel	0 9 0 d f s freespecial10
	cancel	0 9 0 d u a freespecial12
	cancel	0 9 0 A2 freespecial4
	hitflash	bblod2
	fastattack	1
	bbox	28 2 28 109
	loop	0
	offset	48 107
	delay	6
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/anew1.gif
	offset	48 108
	frame	data/Chars/Deadpool/anew2.gif
	offset	48 102
	frame	data/Chars/Deadpool/anew3.gif
	loop	0
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablea" 54 87 0
	blast	87 3 73 52 16 0 0 45 0 0
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew4.gif
	attack	0
	frame	data/Chars/Deadpool/anew5.gif
	frame	data/Chars/Deadpool/anew6.gif
	@cmd	spawn01 "cablea" 54 87 0
	sound	data/sounds/shot3.wav
	blast	83 6 69 48 16 0 0 45
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew7.gif
	attack	0
	frame	data/Chars/Deadpool/anew8.gif
	sound	data/sounds/shot3.wav
	blast	83 3 78 49 16 0 0 45
	dropv	2 9 0
	frame	data/Chars/Deadpool/anew9.gif
	attack	0
	frame	data/Chars/Deadpool/anew10.gif
	bbox	28 2 28 109
	loop	0
	offset	48 107
	delay	6
	hitfx	data/sounds/none.wav
	frame	data/Chars/Deadpool/anew1.gif
	offset	48 108
	frame	data/Chars/Deadpool/anew2.gif
	offset	48 102
	frame	data/Chars/Deadpool/anew3.gif
	loop	0
	sound	data/sounds/shot3.wav
	@cmd	spawn01 "cablea" 54 87 0
	blast	87 3 73 52 16 0 0 45 0 0
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew4.gif
	attack	0
	frame	data/Chars/Deadpool/anew5.gif
	frame	data/Chars/Deadpool/anew6.gif
	@cmd	spawn01 "cablea" 54 87 0
	sound	data/sounds/shot3.wav
	blast	83 6 69 48 16 0 0 45
	dropv	1 0 0
	frame	data/Chars/Deadpool/anew7.gif
	attack	0
	frame	data/Chars/Deadpool/anew8.gif
	sound	data/sounds/shot3.wav
