name	       sabertooth
health         1000
mp	       500
speed	       12
type	       player
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    enemy obstacle
atchain	       1 2 3 4
flash	qflash2
fmap           6
projectilehit  player obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script	data/scripts/toad.c

com             A2 freespecial
com             A3 freespecial2


icon           data/chars/saber/icon.gif

palette     data/chars/saber/idle1.gif
alternatepal     data/chars/saber/alter1.gif
alternatepal     data/chars/saber/alter2.gif
alternatepal     data/chars/saber/alter3.gif
alternatepal     data/chars/saber/alter4.gif

anim	attack1
	bbox	45 12 31 111
	loop	0
	delay	6
	offset	56 118
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/attack1.gif
	attack	59 18 78 99 7
	offset	60 115
	frame	data/Chars/saber/attack2.gif
	offset	48 113
	frame	data/Chars/saber/attack3.gif
		
anim	attack2
	bbox	86 6 39 100
	loop	0
	delay	6
	offset	108 106
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/bttack1.gif
	attack	102 4 108 68 7
	offset	90 105
	frame	data/Chars/saber/bttack2.gif
	offset	91 117
	frame	data/Chars/saber/bttack3.gif
	offset	91 109
	frame	data/Chars/saber/bttack4.gif
	offset	92 106
	frame	data/Chars/saber/bttack5.gif
	offset	86 108
	frame	data/Chars/saber/bttack6.gif
		
anim	attack3
	bbox	56 6 41 92
	loop	0
	delay	6
	offset	76 109
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/cttack1.gif
	frame	data/Chars/saber/cttack2.gif
	offset	75 137
	frame	data/Chars/saber/cttack3.gif
	offset	64 138
	frame	data/Chars/saber/cttack4.gif
	attack	76 1 88 137 7
	bbox	60 44 30 73
	offset	72 132
	frame	data/Chars/saber/cttack5.gif
	offset	75 111
	frame	data/Chars/saber/cttack6.gif
		
anim	attack4
	bbox	55 21 48 65
	loop	0
	delay	5
	offset	88 95
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/dttack1.gif
	blast	69 6 94 153 15 0 0 35
	dropv	3 3 0
	offset	89 150
	frame	data/Chars/saber/dttack2.gif
	frame	data/Chars/saber/dttack3.gif
	offset	89 149
	frame	data/Chars/saber/dttack4.gif
	offset	89 140
	frame	data/Chars/saber/dttack5.gif
		
anim	attackbackward
	bbox	28 6 51 122
	loop	0
	delay	6
	offset	58 140
	hitfx	data/sounds/bukk.wav
	@cmd	flip
	frame	data/Chars/saber/ettack1.gif
	attack	74 37 122 53 17 0 0 25
	dropv	2 8 0
	offset	58 136
	frame	data/Chars/saber/ettack2.gif
	offset	58 133
	frame	data/Chars/saber/ettack3.gif
	offset	57 136
	frame	data/Chars/saber/ettack4.gif
		
anim	fall
	loop	0
	offset	58 103
	delay	25
	frame	data/Chars/saber/fall1.gif
	offset	96 45
	frame	data/Chars/saber/fall2.gif
		
anim	freespecial
	fastattack	1
	loop	0
	delay	4
	offset	108 106
	move	5
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/bttack1.gif
	attack	102 4 108 68 9
	offset	90 105
	frame	data/Chars/saber/bttack2.gif
	attack	0
	offset	91 117
	frame	data/Chars/saber/bttack3.gif
	offset	91 109
	frame	data/Chars/saber/bttack4.gif
	offset	92 106
	frame	data/Chars/saber/bttack5.gif
	offset	86 108
	frame	data/Chars/saber/bttack6.gif
	loop	0
	delay	4
	offset	76 109
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/cttack1.gif
	frame	data/Chars/saber/cttack2.gif
	offset	75 137
	frame	data/Chars/saber/cttack3.gif
	offset	64 138
	frame	data/Chars/saber/cttack4.gif
	attack	76 1 88 137 13
	offset	72 132
	frame	data/Chars/saber/cttack5.gif
	attack	0
	offset	75 111
	frame	data/Chars/saber/cttack6.gif
	loop	0
	delay	4
	offset	108 106
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/bttack1.gif
	attack	102 4 108 68 9
	offset	90 105
	frame	data/Chars/saber/bttack2.gif
	attack	0
	offset	91 117
	frame	data/Chars/saber/bttack3.gif
	offset	91 109
	frame	data/Chars/saber/bttack4.gif
	offset	92 106
	frame	data/Chars/saber/bttack5.gif
	offset	86 108
	frame	data/Chars/saber/bttack6.gif
	loop	0
	delay	4
	offset	76 109
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/cttack1.gif
	frame	data/Chars/saber/cttack2.gif
	offset	75 137
	frame	data/Chars/saber/cttack3.gif
	offset	64 138
	frame	data/Chars/saber/cttack4.gif
	attack	76 1 88 137 13
	offset	72 132
	frame	data/Chars/saber/cttack5.gif
	attack	0
	offset	75 111
	frame	data/Chars/saber/cttack6.gif
	bbox	55 21 48 65
	loop	0
	delay	5
	offset	88 95
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/saber/dttack1.gif
	blast	69 6 94 153 15 0 0 35
	dropv	5 2 0
	offset	89 150
	frame	data/Chars/saber/dttack2.gif
	frame	data/Chars/saber/dttack3.gif
	offset	89 149
	frame	data/Chars/saber/dttack4.gif
	offset	89 140
	frame	data/Chars/saber/dttack5.gif

		
anim	freespecial2
	loop	0
	delay	3
	offset	56 118
	fastattack	1
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/attack1.gif
	attack	59 18 78 99 7
	offset	60 115
	frame	data/Chars/saber/attack2.gif
	offset	48 113
	attack	0
	frame	data/Chars/saber/attack3.gif
	loop	0
	delay	3
	offset	108 106
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/saber/bttack1.gif
	attack	102 4 108 68 7
	offset	90 105
	frame	data/Chars/saber/bttack2.gif
	offset	91 117
	attack	0
	frame	data/Chars/saber/bttack3.gif
	offset	91 109
	frame	data/Chars/saber/bttack4.gif
	offset	92 106
	frame	data/Chars/saber/bttack5.gif
	offset	86 108
	frame	data/Chars/saber/bttack6.gif
	loop	0
	delay	3
