name	       Tron_Bonne_E
health         1000
mp	       500
speed	       12
type	       enemy
hostile		player enemy
aimove	Chase
subject_to_screen 1
shadow	       3
makeinv        2
running        35  4.1  2  1
dust           dust
throwdamage    26
candamage    player enemy obstacle
atchain	       1 2 3 4
flash flashp
fmap           6
projectilehit  enemy obstacle
gfxshadow 1
animationscript	data/scripts2/script.c
script	data/scripts/toad.c

load            trona
load            tronc
load            tronb
load            tronh

com             d f a freespecial
com             d d a freespecial3
com             d u a freespecial7
com             u u A freespecial5
com             a2 freespecial2
com             d f s freespecial8

palette		data/Chars/Tron/idle1.gif
alternatepal	data/Chars/Tron/alter1.gif
alternatepal	data/Chars/Tron/alter2.gif
alternatepal	data/Chars/Tron/alter3.gif
alternatepal	data/Chars/Tron/alter4.gif
alternatepal	data/Chars/Tron/alter5.gif
alternatepal	data/Chars/Tron/alter6.gif
alternatepal	data/Chars/Tron/alter7.gif
alternatepal	data/Chars/Tron/alter8.gif

icon           data/chars/Tron/icon.gif





anim	attack1
	cancel	0 3 1 d f a freespecial
	cancel	0 3 1 d d a freespecial3
	cancel	0 3 1 d u a freespecial7
	cancel	0 3 1 u u A freespecial5
	cancel	0 3 1 a2 freespecial2
	cancel	0 3 1 d f s freespecial8
	bbox	26 14 63 88
	loop	0
	delay	6
	offset	59 103
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Tron/attack1.gif
	attack	76 27 108 52 7
	offset	60 103
	frame	data/Chars/Tron/attack2.gif
	frame	data/Chars/Tron/attack3.gif
	offset	59 103
	frame	data/Chars/Tron/attack4.gif
		
anim	attack2
	cancel	0 10 1 d f a freespecial
	cancel	0 10 1 d d a freespecial3
	cancel	0 10 1 d u a freespecial7
	cancel	0 10 1 u u A freespecial5
	cancel	0 10 1 a2 freespecial2
	cancel	0 10 1 d f s freespecial8
	bbox	22 10 64 93
	loop	0
	delay	3
	offset	51 101
	hitfx	data/Chars/Rogue/hit.wav
	frame	data/Chars/Tron/bttack1.gif
	offset	50 100
	frame	data/Chars/Tron/bttack2.gif
	offset	52 98
	frame	data/Chars/Tron/bttack3.gif
	attack	33 47 110 42 7
	offset	53 102
	frame	data/Chars/Tron/bttack4.gif
	attack	37 47 117 38 7
	offset	53 99
	frame	data/Chars/Tron/bttack5.gif
	attack	41 48 109 41 7
	offset	55 104
	frame	data/Chars/Tron/bttack6.gif
	attack	44 51 110 38 7
	offset	55 102
	frame	data/Chars/Tron/bttack7.gif
	attack	48 49 111 42 7
	offset	57 103
	frame	data/Chars/Tron/bttack8.gif
	attack	53 45 110 46 7
	offset	57 101
	frame	data/Chars/Tron/bttack9.gif
	attack	51 49 123 42 7
	offset	62 103
	frame	data/Chars/Tron/bttack10.gif
	attack	62 44 110 45 7
	offset	62 101
	frame	data/Chars/Tron/bttack11.gif
		
anim	attack3
	cancel	0 10 1 d f a freespecial
	cancel	0 10 1 d d a freespecial3
	cancel	0 10 1 d u a freespecial7
	cancel	0 10 1 u u A freespecial5
	cancel	0 10 1 a2 freespecial2
	cancel	0 10 1 d f s freespecial8
	loop	0
	delay	4
	hitfx	data/Chars/Rogue/hit.wav
	bbox	55 5 32 98
	offset	84 106
	frame	data/Chars/Tron/cttack2.gif
	attack	21 25 79 53 7
	bbox	46 8 30 95
	offset	62 107
	frame	data/Chars/Tron/cttack3.gif
	attack	3 13 202 59 8
	bbox	81 4 23 97
	offset	91 107
	frame	data/Chars/Tron/cttack4.gif
	attack	2 13 205 71 8
	bbox	97 4 36 105
	offset	110 107
	frame	data/Chars/Tron/cttack5.gif
	attack	15 17 76 62 8
	bbox	52 6 23 97
	offset	62 108
	frame	data/Chars/Tron/cttack6.gif
	attack	1 14 209 69 8
	bbox	78 7 27 101
	offset	92 108
	frame	data/Chars/Tron/cttack7.gif
	attack	3 15 203 70 8
	bbox	102 6 19 103
	offset	109 108
	frame	data/Chars/Tron/cttack8.gif
	attack	29 23 100 58 8
	bbox	26 7 23 91
	offset	43 107
	frame	data/Chars/Tron/cttack9.gif
	bbox	50 4 28 96
	offset	62 108
	frame	data/Chars/Tron/cttack10.gif
	attack	4 11 201 69 8
	bbox	76 8 25 99
	offset	91 108
	frame	data/Chars/Tron/cttack11.gif
		
anim	attack4
	cancel	0 9 1 d f a freespecial
	cancel	0 9 1 d d a freespecial3
	cancel	0 9 1 d u a freespecial7
	cancel	0 9 1 u u A freespecial5
	cancel	0 9 1 a2 freespecial2
	cancel	0 9 1 d f s freespecial8
	bbox	55 6 34 89
	loop	0
	delay	6
	offset	75 94
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/dttack1.gif
	bbox	19 6 63 50
	offset	45 71
	frame	data/Chars/Tron/dttack2.gif
	offset	45 72
	frame	data/Chars/Tron/dttack3.gif
	offset	46 73
	frame	data/Chars/Tron/dttack4.gif
	blast	41 17 95 70 16 0 0 45
	offset	45 107
	frame	data/Chars/Tron/dttack5.gif
	bbox	53 51 27 67
	offset	71 150
	frame	data/Chars/Tron/dttack6.gif
	offset	72 144
	frame	data/Chars/Tron/dttack7.gif
	bbox	102 20 65 106
	offset	144 134
	frame	data/Chars/Tron/dttack8.gif
	bbox	91 34 41 88
	offset	106 121
	@cmd	spawn01 "tronb" 108 45 0
	frame	data/Chars/Tron/dttack9.gif
	frame	data/Chars/Tron/dttack10.gif
		
anim	fall
	loop	0
	offset	69 62
	delay	25
	frame	data/Chars/Tron/fall1.gif
	offset	64 65
	frame	data/Chars/Tron/fall2.gif
	offset	93 57
	frame	data/Chars/Tron/fall3.gif
		
anim	freespecial
	cancel	0 11 0 d f s freespecial8
	bbox	32 13 68 83
	loop	0
	offset	70 99
	delay	5
	hitfx	data/sounds/bukk.wav
	frame	data/Chars/Tron/anew1.gif
	bbox	27 8 29 97
	offset	61 104
	frame	data/Chars/Tron/anew2.gif
	@cmd	spawn01 "trona" 39 63 0
	frame	data/Chars/Tron/anew2.gif
