name	BAT
health	30
speed	18
type	enemy
shadow  5
dust   dust
remap	data/chars/bat/idle.gif   data/chars/bat/map1.gif
remap	data/chars/bat/idle.gif   data/chars/bat/map2.gif
icon	data/chars/bat/icon.gif



anim	attack1
	range	10 110
	loop	0
	delay	3
	offset	90 192
	bbox	75 130 25 70
	move	8
	frame	data/chars/bat/idle3.gif
	attack	92 140 30 25 5 1
	sound	data/sounds/a1.wav
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
	move	0
	attack	0 0 0 0 0 0
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle3.gif
		
anim	bpain
	loop	0
	delay	6
	offset	90 192
	bbox	65 102 46 76
	sound	data/sounds/a1.wav
	frame	data/chars/bat/fall4.gif
	offset	87 192
	frame	data/chars/bat/fall4.gif
	offset	89 192
	frame	data/chars/bat/fall4.gif
	offset	87 192
	frame	data/chars/bat/fall4.gif
	offset	89 192
	frame	data/chars/bat/fall4.gif
	offset	87 192
	frame	data/chars/bat/fall4.gif
	offset	89 192
	frame	data/chars/bat/fall4.gif
	offset	87 192
	frame	data/chars/bat/fall4.gif
	offset	89 192
	delay	50
	frame	data/chars/bat/fall4.gif
		
anim	fall
	loop	0
	offset	90 192
	delay	30
	move	-5
	sound	data/sounds/fall3.wav
	frame	data/chars/bat/fall1.gif
	frame	data/chars/bat/fall1.gif
	attack	0 0 0 0 0 0 0 0 0
	delay	40
	frame	data/chars/bat/fall4.gif
		
anim	grabbed
	loop	0
	delay	6
	offset	90 192
	bbox	75 130 35 70
	frame	data/chars/bat/idle2.gif
	offset	87 192
	frame	data/chars/bat/idle2.gif
	offset	89 192
	delay	40
	frame	data/chars/bat/idle2.gif
		
anim	idle
	loop	1
	offset	90 192
	bbox	70 130 35 70
	delay	9
	frame	data/chars/bat/idle.gif
	frame	data/chars/bat/idle2.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle4.gif
	frame	data/chars/bat/idle4.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle2.gif
	frame	data/chars/bat/idle.gif
		
anim	pain
	loop	0
	delay	6
	offset	90 192
	bbox	75 130 35 70
	sound	data/sounds/a1.wav
	move	-2
	frame	data/chars/bat/idle2.gif
	offset	87 192
	move	-2
	frame	data/chars/bat/idle2.gif
	offset	89 192
	move	0
	delay	40
	frame	data/chars/bat/idle2.gif
		
anim	rise
	loop	0
	offset	90 164
	bbox	70 130 35 70
	delay	8
	frame	data/chars/bat/idle3.gif
	offset	90 168
	frame	data/chars/bat/idle4.gif
	offset	90 174
	frame	data/chars/bat/idle4.gif
	offset	90 178
	frame	data/chars/bat/idle3.gif
	offset	90 185
	frame	data/chars/bat/idle2.gif
	offset	90 192
	frame	data/chars/bat/idle.gif
		
anim	spain
	loop	0
	delay	6
	offset	90 192
	bbox	75 130 35 70
	sound	data/sounds/a1.wav
	frame	data/chars/bat/idle2.gif
	offset	87 192
	frame	data/chars/bat/idle2.gif
	offset	89 192
	delay	40
	frame	data/chars/bat/idle2.gif
		
anim	walk
	loop	1
	offset	90 192
	bbox	70 130 35 70
	delay	9
	frame	data/chars/bat/idle.gif
	frame	data/chars/bat/idle2.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle4.gif
	frame	data/chars/bat/idle4.gif
	frame	data/chars/bat/idle3.gif
	frame	data/chars/bat/idle2.gif
	frame	data/chars/bat/idle.gif
		
#|edited by openBor Stats v 0.67
		
