name carol
health	600
speed	7
aimove chase
aimove wander
aimove normal
grabdistance 20
gfxshadow 1
type	enemy
dust dust
shadow	4
icon	data/chars/carol/icone.gif
diesound data/chars/carol/die.wav

palette data/chars/carol/carol.gif

remap	data/chars/carol/idle1.gif data/chars/carol/alt1.gif
remap	data/chars/carol/idle1.gif data/chars/carol/alt2.gif
remap	data/chars/carol/idle1.gif data/chars/carol/alt3.gif
















anim	attack1
	sound	data/chars/carol/at1.wav
	range	0 75
	loop	0
	delay	10
	offset	41 108
	bbox	22 3 43 103
	frame	data/chars/carol/ataque1.gif
	offset	41 108
	frame	data/chars/carol/ataque2.gif
	attack	60 1 32 60 9 0 1 0 0 0
	offset	40 108
	delay	13
	frame	data/chars/carol/ataque3.gif
	offset	41 108
	frame	data/chars/carol/ataque2.gif
		
anim	fall
	loop	0
	delay	20
	offset	33 90
	frame	data/chars/carol/fall1.gif
	offset	36 68
	frame	data/chars/carol/fall2.gif
	offset	44 76
	frame	data/chars/carol/fall3.gif
	offset	43 50
	frame	data/chars/carol/fall4.gif
	offset	43 33
	frame	data/chars/carol/fall5.gif
		
anim	idle
	bbox	11 10 28 80
	loop	1
	offset	20 92
	delay	10
	frame	data/chars/carol/idle1.gif
	offset	20 94
	frame	data/chars/carol/idle2.gif
	offset	17 95
	frame	data/chars/carol/idle3.gif
		
anim	pain
	loop	0
	offset	21 98
	bbox	13 10 38 99
	delay	12
	frame	data/chars/carol/pain1.gif
	bbox	9 7 49 93
	offset	31 97
	delay	12
	frame	data/chars/carol/pain2.gif
	offset	21 98
	delay	12
	frame	data/chars/carol/pain1.gif
		
anim	rise
	loop	0
	delay	15
	offset	28 59
	frame	data/chars/carol/lev1.gif
	offset	27 84
	delay	10
	frame	data/chars/carol/lev2.gif
		
anim	upper
	sound	data/chars/carol/at2.wav
	loop	0
	delay	8
	offset	30 99
	bbox	13 3 43 103
	frame	data/chars/carol/chute1.gif
	offset	30 99
	frame	data/chars/carol/chute2.gif
	offset	30 99
	frame	data/chars/carol/chute3.gif
	attack	26 5 66 43 9 0 1 0 0 0
	delay	13
	offset	30 99
	frame	data/chars/carol/chute4.gif
	offset	30 99
	frame	data/chars/carol/chute3.gif
	offset	30 99
	frame	data/chars/carol/chute2.gif
		
anim	walk
	loop	1
	offset	21 93
	bbox	11 12 41 105
	delay	12
	frame	data/chars/carol/walk1.gif
	offset	18 94
	frame	data/chars/carol/walk3.gif
	offset	16 98
	frame	data/chars/carol/walk2.gif
		
#|edited by openBor Stats v 0.67
		
