name	slash
health	100
speed   10
type	enemy
gfxshadow 1
diesound data/chars/slash/morre.wav
icon	data/chars/slash/icon.gif


remap	data/chars/slash/walk2.gif data/chars/slash/cor1.gif
remap	data/chars/slash/walk2.gif data/chars/slash/cor2.gif



dust	dust
projectilehit	enemy

















anim	attack1
	followanim	1
	followcond	3
	bbox	5 24 60 98
	delay	10
	offset	34 120
	frame	data/chars/slash/ata1.gif
	bbox	2 11 76 111
	offset	52 121
	frame	data/chars/slash/ata2.gif
	sound	data/chars/slash/golpe.wav
	attack	65 9 56 77 10 0 0 0 0 0
	bbox	1 9 65 81
	offset	33 93
	frame	data/chars/slash/ata3.gif
	attack	0 0 0 0 0 0 0 0 0 0
	bbox	3 5 63 97
	offset	30 94
	frame	data/chars/slash/ata4.gif
	bbox	3 7 67 87
	offset	31 90
	frame	data/chars/slash/ata5.gif
	bbox	5 4 61 66
	offset	32 68
	frame	data/chars/slash/ata6.gif
	bbox	3 16 69 80
	offset	37 95
	frame	data/chars/slash/ata7.gif
		
anim	attack2
	range	80 130
	bbox	2 15 65 102
	delay	10
	offset	31 115
	frame	data/chars/slash/ata200.gif
	bbox	4 27 74 94
	offset	42 119
	frame	data/chars/slash/ata201.gif
	sound	data/chars/slash/golpe.wav
	delay	30
	blast	74 16 67 46 10 1 0 0 0 0
	bbox	21 2 57 86
	offset	29 85
	frame	data/chars/slash/ata202.gif
	delay	10
	blast	0 0 0 0 0 0 0 1 0 0
	bbox	29 16 66 88
	offset	32 102
	frame	data/chars/slash/ata203.gif
	bbox	8 12 59 92
	offset	31 100
	frame	data/chars/slash/ata204.gif
	delay	15
	offset	89 51
	frame	data/chars/slash/death1.gif
	frame	data/chars/slash/death2.gif
	frame	data/chars/slash/death1.gif
	frame	data/chars/slash/death2.gif
	offset	71 24
	frame	data/chars/slash/fall5.gif
	frame	data/chars/slash/death3.gif
	frame	data/chars/slash/fall5.gif
	frame	data/chars/slash/death3.gif
		
anim	fall
	sound	data/chars/slash/fall.wav
	delay	10
	offset	51 94
	frame	data/chars/slash/fall1.gif
	offset	91 89
	frame	data/chars/slash/fall2.gif
	attack	0 0 0 0 0 0 0 0 0 0
	offset	71 66
	frame	data/chars/slash/fall3.gif
	offset	69 53
	frame	data/chars/slash/fall4.gif
	bbox	27 2 108 34
	attack	0 0 0 0 0 0 0 0 0 0
	offset	71 24
	frame	data/chars/slash/fall5.gif
		
anim	follow
	delay	10
	bbox	3 5 63 97
	offset	30 94
	frame	data/chars/slash/ata4.gif
	bbox	3 7 67 87
	offset	31 90
	frame	data/chars/slash/ata5.gif
	bbox	5 4 61 66
	offset	32 68
	frame	data/chars/slash/ata6.gif
	bbox	3 16 69 80
	offset	37 95
	frame	data/chars/slash/ata7.gif
	bbox	2 15 65 102
	delay	10
	offset	31 115
	frame	data/chars/slash/ata200.gif
	bbox	4 27 74 94
	offset	42 119
	frame	data/chars/slash/ata201.gif
	sound	data/chars/slash/golpe.wav
	delay	30
	blast	74 16 67 46 10 1 0 0 0 0
	bbox	21 2 57 86
	offset	29 85
