name	carregaball
health	0
type	none
subject_to_gravity 0
shadow 0
alpha 1
setlayer 160




anim	idle
	loop	1
	fastattack	1
	drawmethod	scalex 0.2
	drawmethod	scaley 0.2
	delay	7
	offset	-33 180
	frame	data/chars/misc/power/19/andy_3310-0.png
	offset	-31 157
	frame	data/chars/misc/power/19/andy_3310-1.png
	offset	-42 168
	frame	data/chars/misc/power/19/andy_3310-2.png
	offset	-25 175
	frame	data/chars/misc/power/19/andy_3310-3.png
	offset	-38 165
	frame	data/chars/misc/power/19/andy_3310-4.png
		
#|edited by openBor Stats v 0.67
		
