name	Broly
health	100
speed	9
type	player
shadow	3





anim	0006
	delay	7
	offset	26 64
	frame	data/chars/Broly_SSB/11.gif
		
anim	0011
	delay	7
	offset	26 64
	frame	data/chars/Broly_SSB/12.gif
	offset	26 64
	frame	data/chars/Broly_SSB/13.gif
		
anim	0040
	delay	7
	offset	26 65
	frame	data/chars/Broly_SSB/20.gif
	offset	24 85
	frame	data/chars/Broly_SSB/21.gif
	offset	31 82
	frame	data/chars/Broly_SSB/22.gif
	offset	30 83
	frame	data/chars/Broly_SSB/23.gif
	offset	28 71
	frame	data/chars/Broly_SSB/24.gif
		
anim	0198
	delay	7
	offset	56 27
	frame	data/chars/Broly_SSB/720.gif
	offset	67 32
	frame	data/chars/Broly_SSB/721.gif
	offset	79 38
	frame	data/chars/Broly_SSB/722.gif
	offset	91 46
	frame	data/chars/Broly_SSB/723.gif
	offset	108 52
	frame	data/chars/Broly_SSB/724.gif
	offset	119 56
	frame	data/chars/Broly_SSB/725.gif
	offset	126 59
	frame	data/chars/Broly_SSB/726.gif
	offset	130 61
	frame	data/chars/Broly_SSB/727.gif
	offset	130 63
	frame	data/chars/Broly_SSB/728.gif
	offset	130 62
	frame	data/chars/Broly_SSB/729.gif
		
anim	11101
	delay	7
	offset	45 19
	frame	data/chars/Broly_SSB/595.gif
	offset	81 25
	frame	data/chars/Broly_SSB/596.gif
	offset	91 26
	frame	data/chars/Broly_SSB/597.gif
	offset	93 26
	frame	data/chars/Broly_SSB/598.gif
	offset	93 26
	frame	data/chars/Broly_SSB/599.gif
	offset	91 60
	frame	data/chars/Broly_SSB/600.gif
	offset	89 68
	frame	data/chars/Broly_SSB/601.gif
	offset	88 75
	frame	data/chars/Broly_SSB/602.gif
	offset	87 84
	frame	data/chars/Broly_SSB/603.gif
	offset	86 92
	frame	data/chars/Broly_SSB/604.gif
	offset	86 99
	frame	data/chars/Broly_SSB/605.gif
	offset	87 110
	frame	data/chars/Broly_SSB/606.gif
	offset	88 127
	frame	data/chars/Broly_SSB/607.gif
	offset	71 99
	frame	data/chars/Broly_SSB/608.gif
	offset	71 80
	frame	data/chars/Broly_SSB/609.gif
	offset	71 88
	frame	data/chars/Broly_SSB/610.gif
	offset	71 94
	frame	data/chars/Broly_SSB/611.gif
	offset	72 116
	frame	data/chars/Broly_SSB/612.gif
	offset	75 136
	frame	data/chars/Broly_SSB/613.gif
	offset	74 153
	frame	data/chars/Broly_SSB/614.gif
	offset	-15 126
	frame	data/chars/Broly_SSB/615.gif
	offset	-13 133
	frame	data/chars/Broly_SSB/616.gif
	offset	-13 136
	frame	data/chars/Broly_SSB/617.gif
	offset	-13 142
