name	Crab
health	10
type	enemy
shadow	1
speed	9
takedamagescript data/scripts/enemyhit.c





anim	idle
	loop	1
	offset	18 20
	delay	30
	frame	data/chars/crab/crab1.gif
		
anim	walk
	loop	1
	delay	7
	offset	18 20
	frame	data/chars/crab/crab1.gif
	frame	data/chars/crab/crab2.gif
	frame	data/chars/crab/crab3.gif
	frame	data/chars/crab/crab4.gif
	frame	data/chars/crab/crab5.gif
	frame	data/chars/crab/crab6.gif
	frame	data/chars/crab/crab7.gif
	frame	data/chars/crab/crab8.gif
		
#|edited by openBor Stats v 0.67
		
