name	Sasuke
health	100
speed 13
running	19	3	2	1
type	player
shadow	2
diesound data/chars/Sasuke/die.wav
icon	data/chars/Sasuke/icon.gif
bflash  bflash
jumpheight 3

animationscript data/scripts/spawns.c
com      a2 freespecial
com      a3 freespecial2
com      a4 freespecial3
script data/scripts/playerscript.c

parrow data/chars/misc/picon/1picon.gif -18 -100
parrow2 data/chars/misc/picon/2picon.gif -18 -100
parrow3 data/chars/misc/picon/3picon.gif -18 -100
parrow4 data/chars/misc/picon/4picon.gif -18 -100
makeinv 4





anim	attack1
	loop	0
	delay	7
	offset	60 116
	bbox	41 64 34 52
	sound	data/chars/Sasuke/ha.wav
	frame	data/chars/Sasuke/jab00.gif
	attack	52 79 42 11 8
	frame	data/chars/Sasuke/jab01.gif
	frame	data/chars/Sasuke/jab02.gif
	frame	data/chars/Sasuke/upper00.gif
		
anim	attack2
	loop	0
	delay	7
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/kick00.gif
	attack	32 79 52 31 14
	frame	data/chars/Sasuke/kick01.gif
	frame	data/chars/Sasuke/kick02.gif
	frame	data/chars/Sasuke/kick03.gif
		
anim	attack3
	loop	0
	delay	7
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/punch00.gif
	frame	data/chars/Sasuke/punch01.gif
	attack	57 82 42 9 18 1
	frame	data/chars/Sasuke/punch02.gif
	frame	data/chars/Sasuke/punch03.gif
	frame	data/chars/Sasuke/punch04.gif
		
anim	burn
	loop	1
	offset	60 116
	delay	3
	frame	data/chars/misc/burn1.gif
	frame	data/chars/misc/burn2.gif
	frame	data/chars/misc/burn3.gif
		
anim	duck
	loop	0
	delay	10
	offset	60 116
	bbox	41 99 31 17
	frame	data/chars/Sasuke/get00.gif
	frame	data/chars/Sasuke/get01.gif
	frame	data/chars/Sasuke/get02.gif
		
anim	fall
	loop	0
	offset	60 110
	delay	30
	attack	47 69 18 34 4 1
	sound	data/chars/Sasuke/ugh.wav
	frame	data/chars/Sasuke/fall00.gif
	delay	20
	frame	data/chars/Sasuke/fall01.gif
		
anim	freespecial
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	60 116
	sound	data/chars/Sasuke/katon.wav
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/Sasuke/katon00.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	7
	burn	86 77 84 23 20 1
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Sasuke/katon01.gif
	burn	86 71 150 35 20 1
	frame	data/chars/Sasuke/katon02.gif
	burn	86 53 187 58 20 1
	frame	data/chars/Sasuke/katon03.gif
	frame	data/chars/Sasuke/katon04.gif
	frame	data/chars/Sasuke/katon05.gif
	frame	data/chars/Sasuke/katon03.gif
	frame	data/chars/Sasuke/katon04.gif
	frame	data/chars/Sasuke/katon05.gif
	frame	data/chars/Sasuke/katon03.gif
	frame	data/chars/Sasuke/katon04.gif
	frame	data/chars/Sasuke/katon05.gif
	frame	data/chars/Sasuke/katon06.gif
	burn	0
	frame	data/chars/Sasuke/katon07.gif
	delay	30
	frame	data/chars/Sasuke/katon00.gif
		
anim	get
	loop	0
	delay	10
	offset	60 116
	frame	data/chars/Sasuke/get00.gif
	frame	data/chars/Sasuke/get01.gif
	frame	data/chars/Sasuke/get02.gif
	frame	data/chars/Sasuke/get01.gif
	frame	data/chars/Sasuke/get00.gif
		
anim	grab
	loop	0
	offset	56 116
	delay	1000
	bbox	41 64 34 52
	frame	data/chars/Sasuke/jab02.gif
		
anim	grabattack
	loop	0
	delay	7
	offset	60 116
	bbox	41 64 34 52
	frame	data/chars/Sasuke/kick00.gif
	attack	32 79 52 31 14
	frame	data/chars/Sasuke/kick01.gif
	frame	data/chars/Sasuke/kick02.gif
	frame	data/chars/Sasuke/kick03.gif
		
anim	grabattack2
	loop	0
	offset	56 116
	delay	7
