name	Ichigo
health	100
mp	100
speed	15
type	player
shadow	0
cantgrab 1
animationscript data/scripts/spawns.c
com a2 freespecial
script data/scripts/playerscript.c









anim	attack1
	loop	0
	delay	7
	offset	58 116
	sound	data/sounds/Att.wav
	frame	data/chars/Ichigo/Att1.gif
	attack	80 46 50 70 6 0 0 0 0 0
	frame	data/chars/Ichigo/Att2.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/Att3.gif
	frame	data/chars/Ichigo/Att4.gif
		
anim	attack2
	loop	0
	delay	7
	offset	58 116
	sound	data/sounds/Att.wav
	frame	data/chars/Ichigo/2Att1.gif
	attack	80 46 50 70 8 0 0 0 0 0
	frame	data/chars/Ichigo/2Att2.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/2Att3.gif
	frame	data/chars/Ichigo/2Att4.gif
		
anim	attack3
	loop	0
	delay	7
	offset	58 116
	sound	data/sounds/Att.wav
	frame	data/chars/Ichigo/3Att1.gif
	attack	80 46 50 70 10 1 0 0 0 0
	frame	data/chars/Ichigo/3Att2.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/3Att3.gif
	frame	data/chars/Ichigo/3Att4.gif
		
anim	duck
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Ichigo/Duck1.gif
		
anim	fall
	loop	0
	offset	58 116
	frame	data/chars/Ichigo/Fall1.gif
		
anim	freespecial
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	58 116
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/Ichigo/Free1.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	5
	frame	data/chars/Ichigo/Free2.gif
	frame	data/chars/Ichigo/Free3.gif
	frame	data/chars/Ichigo/Free4.gif
	@cmd	spawnparent "pdust" -10 0 -20
	attack	70 60 230 56 30 1 0 0 0 0
	frame	data/chars/Ichigo/Free5.gif
	frame	data/chars/Ichigo/Free6.gif
	frame	data/chars/Ichigo/Free7.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/Duck1.gif
		
anim	get
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Ichigo/Duck1.gif
		
anim	grab
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Ichigo/Duck1.gif
		
anim	grabattack
	loop	0
	delay	7
	offset	58 116
	bbox	45 70 30 46
	sound	data/sounds/Att.wav
	frame	data/chars/Ichigo/Att1.gif
	attack	69 86 50 32 10 1 0 0 0 0
	frame	data/chars/Ichigo/Att2.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/Att3.gif
	frame	data/chars/Ichigo/Att4.gif
		
anim	grabattack2
	loop	0
	delay	7
	offset	58 116
	bbox	45 70 30 46
	sound	data/sounds/Att.wav
	frame	data/chars/Ichigo/3Att1.gif
	attack	69 86 50 32 12 1 0 0 0 0
	frame	data/chars/Ichigo/3Att2.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Ichigo/3Att3.gif
