name	Kenpachi
health	100
mp	100
speed	15
type	player
shadow	0
cantgrab 1

animationscript data/scripts/spawns.c
com      a2 freespecial
script data/scripts/playerscript.c

parrow data/chars/misc/picon/1picon.gif -18 -100
parrow2 data/chars/misc/picon/2picon.gif -18 -100
parrow3 data/chars/misc/picon/3picon.gif -18 -100
parrow4 data/chars/misc/picon/4picon.gif -18 -100
makeinv 4






anim	attack1
	loop	0
	delay	10
	offset	58 116
	bbox	50 65 20 40
	sound	data/sounds/Att.wav
	frame	data/chars/Kenpachi/Att1.gif
	frame	data/chars/Kenpachi/Att2.gif
	attack	69 32 50 86 5
	frame	data/chars/Kenpachi/Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/Att4.gif
		
anim	attack2
	loop	0
	delay	10
	offset	58 116
	bbox	50 65 20 40
	sound	data/sounds/Att.wav
	frame	data/chars/Kenpachi/2Att1.gif
	frame	data/chars/Kenpachi/2Att2.gif
	attack	69 32 50 86 10
	frame	data/chars/Kenpachi/2Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/2Att4.gif
		
anim	attack3
	loop	0
	delay	10
	offset	58 116
	bbox	50 65 20 40
	sound	data/sounds/Att.wav
	frame	data/chars/Kenpachi/3Att1.gif
	frame	data/chars/Kenpachi/3Att2.gif
	attack	69 32 50 86 20 1
	frame	data/chars/Kenpachi/3Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/3Att4.gif
		
anim	duck
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Kenpachi/Duck1.gif
		
anim	fall
	loop	0
	offset	58 116
	delay	30
	frame	data/chars/Kenpachi/Fall1.gif
		
anim	freespecial
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	offset	58 116
	frame	data/chars/Kenpachi/3Att1.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	15
	sound	data/sounds/Att.wav
	@cmd	spawnparent "pdust" -10 0 -20
	frame	data/chars/Kenpachi/3Att2.gif
	attack	69 32 50 86 10
	frame	data/chars/Kenpachi/3Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/3Att4.gif
	sound	data/sounds/Att.wav
	frame	data/chars/Kenpachi/2Att1.gif
	frame	data/chars/Kenpachi/2Att2.gif
	attack	69 32 50 86 10
	frame	data/chars/Kenpachi/2Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/2Att4.gif
	sound	data/sounds/Att.wav
	frame	data/chars/Kenpachi/Att1.gif
	frame	data/chars/Kenpachi/Att2.gif
	attack	69 32 50 86 20 1
	frame	data/chars/Kenpachi/Att3.gif
	attack	0 0 0 0 0 0
	frame	data/chars/Kenpachi/Att4.gif
		
anim	get
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Kenpachi/Duck1.gif
		
anim	grab
	loop	0
	offset	58 116
	delay	10
	frame	data/chars/Kenpachi/Duck1.gif
		
