name	Luffy
health	100
mp 100
speed	10
type	Player
shadow 3

icon	data/chars/Luffy/icon.gif
atchain  1 2 3 3
animationscript data/scripts/spawns.c
com      a2 freespecial
com      a3 freespecial2
com      a4 freespecial3
jumpmove 3 3

weapons gear2 Luffy    
weaploss 3
script data/scripts/playerscript.c









anim	attack1
	loop	0
	delay	7
	bbox	36 46 13 20
	offset	38 77
	sound	data/chars/Luffy/punch.wav
	frame	data/chars/Luffy/punch01.gif
	frame	data/chars/Luffy/punch02.gif
	attack	64 48 24 9 8 0 0 0 0 0
	frame	data/chars/Luffy/punch03.gif
		
anim	attack2
	loop	0
	offset	38 77
	bbox	78 48 12 17
	delay	10
	sound	data/chars/Luffy/gatl.wav
	frame	data/chars/Luffy/gatl01.gif
	frame	data/chars/Luffy/gatl02.gif
	blast	70 39 34 42 10 0 0 0 0 0
	frame	data/chars/Luffy/gatl03.gif
	blast	70 32 39 48 10 0 0 0 0 0
	frame	data/chars/Luffy/gatl04.gif
	blast	70 30 35 50 10 0 0 0 0 0
	frame	data/chars/Luffy/gatl05.gif
	blast	70 32 35 48 10 0 0 0 0 0
	frame	data/chars/Luffy/gatl06.gif
	blast	70 37 37 43 10 0 0 0 0 0
	frame	data/chars/Luffy/gatl07.gif
		
anim	chargeattack
	loop	0
	offset	82 78
	bbox	78 48 12 17
	delay	3
	sound	data/chars/Luffy/raiful.wav
	frame	data/chars/Luffy/raiful01.gif
	frame	data/chars/Luffy/raiful02.gif
	@cmd	spawnparent "pdust" -10 0 -20
	blast	112 37 27 31 12 0 0 0 0 0
	blast	112 37 27 31 12 0 0 0 0 0
	frame	data/chars/Luffy/raiful03.gif
	blast	112 37 28 30 12 0 0 0 0 0
	blast	112 37 28 30 12 0 0 0 0 0
	frame	data/chars/Luffy/raiful04.gif
	frame	data/chars/Luffy/raiful05.gif
		
anim	fall
	loop	0
	offset	38 77
	delay	20
	sound	data/chars/Luffy/down.wav
	frame	data/chars/Luffy/fall01.gif
	move	-4
	frame	data/chars/Luffy/fall02.gif
	frame	data/chars/Luffy/fall03.gif
	frame	data/chars/Luffy/fall04.gif
	frame	data/chars/Luffy/fall05.gif
	frame	data/chars/Luffy/fall06.gif
	frame	data/chars/Luffy/fall07.gif
		
anim	freespecial
	energycost	0
	mponly	1
	@cmd	enoughmp
	loop	0
	offset	82 78
	sound	data/chars/Luffy/bazka.wav
	delay	30
	@cmd	spawnbind "zoomin" 0 0 0
	@cmd	spawnscreen "Screen_wind" 0 0
	@cmd	changeopenborvariant "slowmotion" 1
	frame	data/chars/Luffy/bazka01.gif
	@cmd	changeentityproperty getlocalvar("self") "mp" 0
	@cmd	spawnbind "zoomout" 0 0 0
	@cmd	changeopenborvariant "slowmotion" 0
	delay	5
	frame	data/chars/Luffy/bazka02.gif
	frame	data/chars/Luffy/bazka03.gif
	frame	data/chars/Luffy/bazka04.gif
	frame	data/chars/Luffy/bazka05.gif
	frame	data/chars/Luffy/bazka06.gif
	frame	data/chars/Luffy/bazka07.gif
	@cmd	spawnparent "pdust" -10 0 -20
	attack	95 43 49 18 15 1 0 0 0 0
	frame	data/chars/Luffy/bazka08.gif
	attack	98 40 85 24 15 1 0 0 0 0
