name	MUSASHI
health	300
speed	10
type	enemy
shadow	4
dust    dust
icon	data/chars/Musashi/1.gif
iconpain	data/chars/Musashi/2.gif
gfxshadow 1

aggression 1
diesound data/sounds/ryodies.wav

remap	data/chars/Musashi/idle01.gif data/chars/Musashi/map1.gif


anim idle
	loop	1
	offset	60 155
	bbox	89 80 52 105
	delay	14
	frame	data/chars/Musashi/idle01.gif
	#frame	data/chars/Musashi/idle02.gif
	#frame	data/chars/Musashi/idle03.gif
	#frame	data/chars/Musashi/idle04.gif
	#frame	data/chars/Musashi/idle05.gif
	
anim walk
	loop	1
	offset	60 155
	bbox	75 27 60 127
	delay	9
	frame	data/chars/Musashi/walk01.gif
	frame	data/chars/Musashi/walk02.gif
	frame	data/chars/Musashi/walk03.gif
	frame	data/chars/Musashi/walk04.gif
	frame	data/chars/Musashi/walk05.gif
	frame	data/chars/Musashi/walk06.gif
	frame	data/chars/Musashi/walk07.gif
	frame	data/chars/Musashi/walk08.gif

anim pain
	loop	0
	offset	74 143
	bbox	41 42 80 104
	delay	8
	sound	data/sounds/malepain.wav
	frame	data/chars/Musashi/pain00.gif
	delay	30
	bbox	48 44 68 105
	frame	data/chars/Musashi/pain01.gif
	delay	8
	bbox	41 42 80 104
	frame	data/chars/Musashi/pain00.gif

anim fall
	loop	0
	offset	90 170 
	delay	20
	attack	70 87 56 61 17 1
	frame	data/chars/Musashi/fall1.gif
        offset  88 134
	frame	data/chars/Musashi/fall2.gif
	frame	data/chars/Musashi/fall2.gif
        offset  93 124
        ATTACK         0 0 0 0 0 0
	frame	data/chars/Musashi/fall3.gif
	frame	data/chars/Musashi/fall4.gif

anim rise
	loop	0
	offset	60 155
	delay	15
	frame	data/chars/Musashi/rise00.gif
	frame	data/chars/Musashi/rise01.gif
	frame	data/chars/Musashi/rise02.gif

anim attack1
range	10 140
	loop	0
	delay	6
	offset	60 155
	bbox	18 13 42 107
	sound	data/chars/Musashi/TIGER.wav
	frame   data/chars/Musashi/sh01.gif
        	frame   data/chars/Musashi/sh02.gif
	frame   data/chars/Musashi/sh03.gif
	bbox	36 5 36 118
	attack	176 83 88 138 30 
	frame   data/chars/Musashi/sh04.gif
	attack	176 83 88 138 30 
	frame   data/chars/Musashi/sh05.gif
	attack	0 0 0 0 0
                frame   data/chars/Musashi/sh06.gif
	attack	176 83 88 138 30 1
	 sound	data/chars/Musashi/UPERCUT.wav
	 frame   data/chars/Musashi/sh07.gif
	 frame   data/chars/Musashi/sh08.gif
	 frame   data/chars/Musashi/sh09.gif
	 frame   data/chars/Musashi/sh10.gif
	 frame   data/chars/Musashi/sh11.gif

anim attack2
range	10 200
	loop	0
	offset	60 155
	bbox	34 30 74 127
	delay	4
	frame	data/chars/Musashi/tel1.gif
	frame	data/chars/Musashi/tel2.gif
	frame	data/chars/Musashi/tel3.gif
	frame	data/chars/Musashi/tel4.gif
	frame	data/chars/Musashi/tel5.gif
	frame	data/chars/Musashi/tel6.gif
	frame	data/chars/Musashi/tel7.gif
	frame	data/chars/Musashi/tel8.gif
	frame	data/chars/Musashi/tel9.gif
	frame	data/chars/Musashi/tel10.gif
	frame	data/chars/Musashi/tel11.gif
	frame	data/chars/Musashi/tel12.gif
	frame	data/chars/Musashi/tel13.gif
	move	34
	frame	data/chars/Musashi/tel14.gif
	move	34
	frame	data/chars/Musashi/tel14.gif
	move	34
	frame	data/chars/Musashi/tel14.gif
	move	34

anim attack3
	range	0 300
	loop	0
	delay	5
	offset	60 155
	bbox	89 80 52 105
	move	20
	frame	data/chars/Musashi/run1.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run2.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run3.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run4.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run1.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run2.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run3.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run4.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run1.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run2.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run3.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run4.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run1.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run2.gif
	attack 	0 0 0 0 0
	frame	data/chars/Musashi/run3.gif
	attack 	117 81 146 122 15 1
	frame	data/chars/Musashi/run4.gif
	attack 	0 0 0 0 0
	




