name	Seiya
health	210
mp	60
mprate	0
speed	12
#running{speed}{height}{length}{move}{land}
running	30 4 2 1 1
type	player
com	d f a freespecial
com	b b a freespecial2
#com	u d s freespecial3
shadow	5
icon	data/chars/seiya/iconnew.gif
#iconpain	data/chars/seiya/iconp.gif
#diesound data/voices/pegdie.wav
parrow	data/chars/misc/parrow/p1.gif -48 -150
parrow2	data/chars/misc/parrow/p2.gif -48 -150
parrow3	data/chars/misc/parrow/p3.gif -48 -150
parrow4	data/chars/misc/parrow/p4.gif -48 -150
makeinv	4
palette	data/chars/seiya/idle0.gif
dust	dust
noatflash	1
flash	circflas
bflash	block
death	1
nodieblink	2
holdblock 1
#grabturn	0
#grabwalk	0 4

weaploss	3
atchain 1 1 2 3
weapons	SeiyaII Seiya Seiya Seiya SeiyaII Seiya

#fmap	1

#remap	data/chars/seiya/walk0.gif data/chars/seiya/fmap.gif  


knife	cometa





anim spawn
	loop	0
	delay	6
	offset	7 277
	frame	data/chars/misc/spawn/spawn0.gif
	offset	6 219
	frame	data/chars/misc/spawn/spawn1.gif
	offset	5 213
	frame	data/chars/misc/spawn/spawn2.gif
	offset	5 206
	frame	data/chars/misc/spawn/spawn3.gif
	offset	4 173
	frame	data/chars/misc/spawn/spawn4.gif
	offset	3 155
	frame	data/chars/misc/spawn/spawn5.gif
	offset	15 297
	frame	data/chars/misc/spawn/spawn6.gif
	offset	29 293
	frame	data/chars/misc/spawn/spawn7.gif
	offset	33 278
	frame	data/chars/misc/spawn/spawn8.gif
	offset	55 272
	frame	data/chars/misc/spawn/spawn9.gif
	offset	70 228
	frame	data/chars/misc/spawn/spawn10.gif
	offset	78 211
	frame	data/chars/misc/spawn/spawn11.gif
	offset	88 145
	frame	data/chars/misc/spawn/spawn12.gif

anim idle
	loop	1
	unsummonframe	0
	delay	12
	offset	62 141
	bbox	53 52 30 88
	frame	data/chars/seiya/idle0.gif
	frame	data/chars/seiya/idle1.gif
	frame	data/chars/seiya/idle2.gif
	frame	data/chars/seiya/idle3.gif
	frame	data/chars/seiya/idle4.gif
	frame	data/chars/seiya/idle3.gif
	frame	data/chars/seiya/idle2.gif
	frame	data/chars/seiya/idle1.gif

anim walk
	loop	1
	unsummonframe	0
	delay	15
	offset	68 126
	bbox	53 27 26 98
	frame	data/chars/seiya/walk0.gif
	frame	data/chars/seiya/walk1.gif
	frame	data/chars/seiya/walk2.gif
	frame	data/chars/seiya/walk3.gif
	frame	data/chars/seiya/walk4.gif
	frame	data/chars/seiya/walk5.gif

#anim grabwalk
#	loop	1
#	delay	8
#	offset	68 126
#	bbox	53 27 26 98
#	frame	data/chars/seiya/walk0.gif
#	frame	data/chars/seiya/walk1.gif
#	frame	data/chars/seiya/walk2.gif
#	frame	data/chars/seiya/walk3.gif
#	frame	data/chars/seiya/walk4.gif
#	frame	data/chars/seiya/walk5.gif

anim run	
	loop	1
	delay	12
	bbox	24 18 30 79
	offset	36 104
	frame	data/chars/seiya/run0.gif
	offset	41 101
	frame	data/chars/seiya/run1.gif
	offset	64 89
	frame	data/chars/seiya/run2.gif
	offset	36 104
	frame	data/chars/seiya/run0.gif
	offset	41 98
	frame	data/chars/seiya/run3.gif
	offset	55 86
	frame	data/chars/seiya/run4.gif

anim runattack
	loop	0
	jumpframe	1 0 4 0
	delay	5
	bbox	18 68 116 38
	attack	18 68 116 38 7 1 1
	offset	66 97
	frame	data/chars/seiya/runatt0.gif
	delay	10
	offset	81 100
	frame	data/chars/seiya/runatt1.gif
